time,tavg,tmin,tmax,prcp,wspd,pres
2021-01-02,29.0,23.6,35.0,0.1,7.8,1010.5
2021-01-03,29.1,23.8,35.6,0.1,9.2,1010.2
2021-01-04,28.5,22.9,34.9,0.0,9.9,1010.1
2021-01-05,29.0,23.1,35.2,0.0,10.8,1010.0
2021-01-06,29.2,23.0,36.0,0.0,10.2,1010.5
2021-01-07,28.9,22.1,35.5,0.0,8.6,1009.0
2021-01-08,28.9,22.3,35.4,0.0,9.8,1007.8
2021-01-09,29.2,22.4,35.9,0.0,11.3,1007.8
2021-01-10,29.2,23.0,35.6,0.0,12.1,1008.7
2021-01-11,29.8,23.3,35.7,0.0,14.4,1009.1
2021-01-12,30.0,24.1,36.2,0.0,14.9,1009.9
2021-01-13,30.1,24.3,36.4,0.0,14.9,1010.2
2021-01-14,30.2,23.6,36.6,0.0,13.0,1009.2
2021-01-15,29.8,23.7,35.6,0.0,13.3,1009.1
2021-01-16,30.1,24.2,35.5,0.0,10.6,1008.0
2021-01-17,29.8,23.7,35.3,0.0,10.4,1008.2
2021-01-18,30.5,23.5,36.7,0.0,11.4,1007.7
2021-01-19,30.7,23.5,38.5,0.0,11.2,1007.9
2021-01-20,30.7,23.8,37.6,0.0,13.2,1009.1
2021-01-21,30.7,25.4,36.8,0.5,14.5,1009.2
2021-01-22,30.2,25.0,35.9,0.1,16.4,1009.5
2021-01-23,30.0,24.6,35.3,0.0,13.4,1010.0
2021-01-24,30.4,23.4,36.2,0.0,10.9,1009.5
2021-01-25,29.9,23.9,35.9,0.0,13.0,1010.5
2021-01-26,29.0,22.7,35.1,0.0,10.6,1010.8
2021-01-27,29.5,22.6,36.0,0.0,11.0,1009.7
2021-01-28,30.7,24.0,36.7,0.0,9.3,1009.2
2021-01-29,30.4,23.6,36.6,0.0,12.8,1010.2
2021-01-30,30.0,23.4,37.0,0.0,12.0,1010.1
2021-01-31,29.3,22.3,36.4,0.0,12.5,1009.7
2021-02-01,30.1,22.7,37.0,0.0,10.5,1010.5
2021-02-02,29.8,23.0,37.0,0.0,9.4,1011.5
2021-02-03,29.6,23.0,37.0,0.0,10.3,1010.9
2021-02-04,28.9,23.0,35.0,0.0,8.9,1010.5
2021-02-05,30.0,23.8,37.0,0.0,8.7,1010.0
2021-02-06,30.0,24.0,36.0,0.0,10.1,1008.6
2021-02-07,30.8,24.0,37.0,0.0,8.1,1007.2
2021-02-08,30.9,25.0,36.0,0.2,12.1,1008.1
2021-02-09,31.2,25.0,36.0,0.1,11.3,1008.8
2021-02-10,31.4,25.7,37.0,0.0,11.1,1008.5
2021-02-11,31.5,24.7,37.0,0.0,10.8,1007.9
2021-02-12,31.3,25.0,38.0,0.0,10.9,1007.8
2021-02-13,31.3,25.0,38.0,0.0,10.2,1008.2
2021-02-14,30.7,25.0,37.0,0.0,8.0,1008.8
2021-02-15,30.7,24.0,38.0,0.0,9.9,1008.1
2021-02-16,30.7,24.0,38.0,0.0,8.5,1007.5
2021-02-17,30.1,24.0,36.7,0.0,8.8,1008.3
2021-02-18,30.5,24.0,37.0,0.0,9.0,1008.7
2021-02-19,31.2,25.0,37.0,0.0,6.2,1008.6
2021-02-20,30.6,25.0,37.0,0.0,6.9,1009.1
2021-02-21,30.0,21.0,34.2,0.2,7.5,1008.8
2021-02-22,30.3,25.0,35.0,0.5,8.9,1010.1
2021-02-23,30.1,24.8,35.0,0.8,7.3,1010.2
2021-02-24,30.7,24.0,37.2,0.0,9.3,1008.8
2021-02-25,30.3,23.8,36.8,0.0,14.2,1009.1
2021-02-26,30.1,24.0,36.5,0.0,13.1,1008.3
2021-02-27,32.0,25.0,40.0,0.0,7.6,1006.7
2021-02-28,31.8,24.9,39.0,0.0,9.0,1006.9
2021-03-01,31.3,25.0,39.0,0.0,12.2,1007.7
2021-03-02,31.0,24.0,39.0,0.0,13.2,1008.6
2021-03-03,31.1,24.2,37.5,0.0,12.4,1007.9
2021-03-04,31.0,24.8,37.0,0.0,11.5,1008.7
2021-03-05,32.5,25.0,39.0,0.0,8.9,1008.4
2021-03-06,31.7,25.0,39.0,0.0,11.7,1008.7
2021-03-07,31.2,24.5,38.0,0.0,8.7,1007.8
2021-03-08,30.7,24.1,37.0,0.0,9.6,1007.9
2021-03-09,30.9,24.7,37.2,0.0,11.1,1009.5
2021-03-10,30.6,24.5,37.0,0.0,14.1,1010.1
2021-03-11,31.1,24.7,38.0,0.0,13.1,1008.6
2021-03-12,30.7,24.2,37.0,0.0,14.8,1009.0
2021-03-13,30.6,24.4,37.0,0.0,14.5,1009.1
2021-03-14,30.1,24.9,36.0,0.0,13.2,1008.9
2021-03-15,29.2,24.7,35.6,0.0,11.9,1008.3
2021-03-16,29.6,24.3,35.0,0.3,8.2,1008.4
2021-03-17,28.8,24.9,33.4,0.1,13.2,1008.6
2021-03-18,30.5,25.0,35.8,0.0,8.6,1008.8
2021-03-19,30.2,25.0,37.0,0.1,11.4,1008.9
2021-03-20,30.4,25.0,37.0,0.1,12.3,1008.3
2021-03-21,30.4,24.5,36.0,0.0,10.1,1007.4
2021-03-22,30.9,25.5,36.8,0.1,12.4,1008.4
2021-03-23,30.4,25.6,36.0,0.0,12.7,1009.6
2021-03-24,30.6,25.5,37.0,0.0,11.8,1009.5
2021-03-25,30.8,23.5,38.0,0.0,9.8,1007.5
2021-03-26,31.1,24.3,38.0,0.0,12.6,1008.1
2021-03-27,30.6,24.8,37.0,0.0,10.1,1009.4
2021-03-28,30.6,25.5,36.0,0.0,9.1,1009.4
2021-03-29,31.9,25.0,39.0,0.0,9.9,1008.7
2021-03-30,31.6,25.0,38.0,0.0,6.4,1008.2
2021-03-31,31.6,25.6,37.0,0.0,11.7,1009.0
2021-04-01,32.0,26.8,38.0,0.0,10.3,1009.5
2021-04-02,31.7,26.4,38.0,0.0,9.9,1009.7
2021-04-03,29.8,25.0,36.0,0.0,12.6,1009.6
2021-04-04,29.2,24.1,36.0,10.2,11.7,1010.5
2021-04-05,28.3,23.6,33.4,15.4,6.4,1011.0
2021-04-06,30.0,24.2,37.0,2.4,7.8,1010.6
2021-04-07,29.8,23.7,36.0,4.3,10.0,1011.6
2021-04-08,30.4,25.2,37.0,0.8,8.0,1009.9
2021-04-09,29.8,24.2,36.0,1.7,9.0,1008.7
2021-04-10,29.9,24.8,37.0,0.6,12.5,1008.5
2021-04-11,27.3,25.0,29.4,2.3,8.2,1010.0
2021-04-12,26.2,23.6,32.0,0.4,7.8,1011.0
2021-04-13,29.5,24.2,36.0,0.2,6.3,1010.8
2021-04-14,29.4,24.8,35.0,0.2,8.1,1010.0
2021-04-15,30.2,25.2,35.5,0.3,10.2,1009.3
2021-04-16,30.1,25.7,36.0,0.7,9.4,1009.1
2021-04-17,30.1,26.0,36.0,0.1,8.4,1009.6
2021-04-18,27.8,23.5,33.0,9.0,7.8,1011.1
2021-04-19,26.8,23.0,33.0,22.4,6.0,1011.3
2021-04-20,27.3,23.5,33.0,4.4,6.8,1010.6
2021-04-21,27.7,23.9,34.0,1.4,11.5,1010.8
2021-04-22,27.9,23.2,33.0,6.0,7.4,1011.3
2021-04-23,27.4,23.3,33.0,4.1,7.5,1010.5
2021-04-24,28.4,23.7,34.0,1.8,7.3,1008.9
2021-04-25,28.8,24.1,34.2,0.2,6.6,1009.5
2021-04-26,28.8,24.2,35.0,0.3,7.4,1009.9
2021-04-27,29.1,24.6,35.0,0.4,5.6,1009.4
2021-04-28,28.9,24.9,34.4,0.8,9.4,1009.3
2021-04-29,29.4,24.8,35.0,1.9,6.6,1009.2
2021-04-30,28.9,25.1,35.0,0.8,7.8,1009.1
2021-05-01,29.5,25.1,35.3,1.2,6.3,1008.7
2021-05-02,29.0,25.4,34.0,0.9,7.5,1008.5
2021-05-03,28.4,23.8,34.0,8.2,7.9,1008.8
2021-05-04,28.9,24.0,34.8,2.2,7.4,1008.8
2021-05-05,29.1,24.1,35.0,0.5,8.5,1009.0
2021-05-06,29.8,24.4,36.0,0.2,6.2,1009.6
2021-05-07,29.8,23.8,36.4,0.9,8.7,1010.5
2021-05-08,29.4,23.4,36.0,0.1,6.4,1010.2
2021-05-09,29.4,25.4,34.0,0.2,4.6,1010.6
2021-05-10,29.9,25.5,35.5,3.1,4.4,1011.1
2021-05-11,29.0,24.4,34.0,3.2,5.3,1012.6
2021-05-12,29.4,24.7,34.0,0.0,8.2,1012.2
2021-05-13,29.6,24.6,34.0,0.0,7.6,1011.9
2021-05-14,29.8,23.0,36.0,0.0,8.4,1011.4
2021-05-15,30.0,24.0,35.4,0.0,11.7,1011.3
2021-05-16,30.5,24.8,36.0,0.0,12.3,1009.9
2021-05-17,29.8,25.3,35.0,0.1,11.9,1010.6
2021-05-18,29.4,24.7,34.2,0.0,13.2,1011.6
2021-05-19,29.6,24.8,35.4,0.1,13.8,1012.1
2021-05-20,28.7,24.2,33.7,0.4,11.2,1012.6
2021-05-21,28.7,23.7,34.0,0.0,15.1,1012.8
2021-05-22,29.1,23.8,34.0,0.4,13.1,1012.1
2021-05-23,28.6,23.6,33.8,0.0,22.5,1012.2
2021-05-24,28.4,23.7,34.0,0.0,14.3,1013.8
2021-05-25,28.0,23.5,32.0,0.0,9.3,1013.8
2021-05-26,28.0,23.2,33.8,0.3,12.2,1013.4
2021-05-27,27.5,22.9,34.0,2.1,9.9,1013.8
2021-05-28,26.9,22.4,32.0,0.4,8.9,1013.9
2021-05-29,27.7,23.1,32.0,0.3,9.7,1013.5
2021-05-30,28.6,23.4,35.0,0.0,6.8,1012.8
2021-05-31,28.5,22.7,34.1,0.0,11.2,1011.6
2021-06-01,28.4,23.5,33.0,0.3,11.5,1011.2
2021-06-02,28.5,22.8,35.0,0.5,10.5,1012.2
2021-06-03,28.8,23.2,34.1,0.0,9.2,1012.9
2021-06-04,28.3,23.3,33.0,0.0,10.7,1013.3
2021-06-05,28.9,23.0,34.0,0.0,9.5,1012.5
2021-06-06,29.1,24.3,34.4,0.0,14.2,1013.1
2021-06-07,29.0,23.4,35.5,0.0,14.7,1013.6
2021-06-08,28.4,23.4,34.2,0.7,14.9,1014.0
2021-06-09,27.3,23.2,31.0,1.2,11.4,1013.7
2021-06-10,27.3,22.9,32.2,0.0,13.9,1013.1
2021-06-11,27.5,22.3,33.0,0.0,13.3,1012.6
2021-06-12,27.9,22.3,33.0,0.0,12.7,1013.2
2021-06-13,28.2,22.8,34.0,0.0,11.4,1013.8
2021-06-14,28.1,22.5,34.0,0.0,11.1,1013.0
2021-06-15,28.1,22.4,32.8,0.0,12.4,1012.4
2021-06-16,28.1,22.8,33.2,0.0,13.4,1013.3
2021-06-17,28.3,22.9,33.0,0.0,8.8,1013.7
2021-06-18,28.7,23.2,34.5,0.0,13.4,1014.4
2021-06-19,27.5,23.7,32.0,0.1,14.5,1016.2
2021-06-20,27.5,22.0,32.3,0.0,15.0,1015.6
2021-06-21,27.8,22.1,34.0,0.0,13.2,1014.7
2021-06-22,27.2,22.2,33.0,1.2,15.0,1014.1
2021-06-23,26.8,22.0,32.1,1.9,15.9,1014.5
2021-06-24,27.2,21.9,32.0,0.0,13.4,1014.6
2021-06-25,27.3,22.3,32.9,0.2,12.6,1013.8
2021-06-26,27.7,22.1,32.0,0.0,14.1,1012.5
2021-06-27,27.0,21.0,31.4,0.0,13.9,1012.7
2021-06-28,27.2,22.5,31.9,0.6,14.2,1013.5
2021-06-29,25.0,22.3,31.0,0.7,14.9,1014.6
2021-06-30,26.7,21.5,33.0,0.1,15.8,1015.8
2021-07-01,26.8,21.6,32.0,0.0,13.5,1014.8
2021-07-02,27.3,22.0,32.8,0.0,15.8,1014.5
2021-07-03,27.7,22.1,34.0,0.0,15.8,1013.4
2021-07-04,27.1,21.9,32.4,0.0,17.2,1013.9
2021-07-05,27.0,21.9,32.9,0.0,17.3,1013.9
2021-07-06,27.2,23.2,31.0,0.0,17.4,1013.1
2021-07-07,27.2,22.2,32.0,0.0,17.0,1013.3
2021-07-08,27.4,22.9,31.0,0.5,17.2,1014.9
2021-07-09,26.9,22.8,31.0,0.0,18.0,1014.8
2021-07-10,27.4,23.1,32.0,0.0,17.4,1014.1
2021-07-11,27.6,22.8,32.0,0.2,16.6,1014.1
2021-07-12,28.3,23.4,34.0,0.0,16.2,1014.1
2021-07-13,27.2,23.7,31.0,0.0,17.6,1013.5
2021-07-14,27.9,23.2,33.0,0.2,17.2,1013.5
2021-07-15,27.3,22.4,32.0,0.0,19.2,1013.9
2021-07-16,27.5,22.1,33.0,0.0,18.3,1013.7
2021-07-17,27.0,22.9,32.0,0.1,19.6,1014.0
2021-07-18,28.0,23.1,32.6,0.0,18.5,1013.6
2021-07-19,27.6,23.2,31.4,0.0,16.6,1014.0
2021-07-20,27.4,23.3,31.0,0.0,19.6,1015.2
2021-07-21,27.6,23.3,32.1,0.0,20.6,1016.7
2021-07-22,27.4,22.5,32.3,0.0,18.0,1016.0
2021-07-23,27.3,22.2,33.1,0.0,21.5,1014.3
2021-07-24,26.1,22.0,29.8,0.0,22.2,1015.0
2021-07-25,26.9,22.5,39.0,0.0,23.2,1015.2
2021-07-26,26.7,21.3,32.9,0.0,21.6,1015.2
2021-07-27,26.3,21.9,31.9,0.0,21.9,1014.8
2021-07-28,26.0,22.4,29.9,0.1,20.7,1014.5
2021-07-29,26.1,22.1,29.9,0.2,19.2,1015.5
2021-07-30,26.4,22.6,30.2,0.0,21.2,1016.1
2021-07-31,26.4,21.6,30.7,0.0,20.9,1016.6
2021-08-01,27.2,22.6,31.6,0.0,22.0,1016.4
2021-08-02,26.5,22.4,31.7,0.0,18.3,1016.6
2021-08-03,27.1,21.4,33.4,0.0,16.1,1016.6
2021-08-04,27.3,22.0,32.4,0.0,18.9,1017.9
2021-08-05,27.1,21.4,32.5,0.0,17.9,1017.6
2021-08-06,26.5,21.4,31.2,0.1,16.3,1016.1
2021-08-07,27.0,21.3,32.8,0.0,17.5,1015.5
2021-08-08,27.4,21.7,33.5,0.0,16.4,1014.6
2021-08-09,27.2,21.7,32.1,0.0,16.7,1014.2
2021-08-10,27.7,21.9,34.2,0.0,19.6,1013.3
2021-08-11,26.9,22.2,31.5,0.0,20.2,1014.3
2021-08-12,27.9,22.7,32.5,0.0,17.9,1014.5
2021-08-13,27.6,22.0,32.9,0.0,17.3,1014.3
2021-08-14,27.7,22.5,32.9,0.0,22.0,1014.3
2021-08-15,27.6,23.3,33.2,0.0,21.9,1014.5
2021-08-16,27.3,21.9,32.6,0.0,20.6,1015.5
2021-08-17,27.2,21.7,32.0,0.1,17.5,1015.7
2021-08-18,26.8,22.3,31.8,0.1,17.0,1013.9
2021-08-19,27.8,21.5,34.3,0.0,15.6,1011.7
2021-08-20,28.0,21.8,33.7,0.0,17.8,1011.5
2021-08-21,28.2,21.5,34.3,1.2,17.4,1012.0
2021-08-22,27.9,23.2,32.6,0.3,18.3,1012.7
2021-08-23,27.1,12.5,33.6,0.0,18.4,1012.7
2021-08-24,27.6,21.7,33.5,0.0,17.7,1012.9
2021-08-25,27.3,20.7,33.8,0.0,19.0,1012.7
2021-08-26,27.3,21.4,33.6,0.0,18.0,1012.9
2021-08-27,27.3,21.4,33.0,0.2,16.2,1012.8
2021-08-28,27.4,21.1,33.6,0.0,18.2,1012.0
2021-08-29,27.8,21.4,34.6,0.0,15.2,1009.6
2021-08-30,28.8,22.8,35.4,0.0,18.0,1009.5
2021-08-31,29.0,23.2,35.4,0.0,20.5,1010.0
2021-09-01,28.3,22.9,33.1,0.0,17.8,1011.5
2021-09-02,26.9,24.0,31.0,3.0,15.0,1011.7
2021-09-03,27.3,22.8,31.2,0.1,16.2,1012.1
2021-09-04,28.0,21.7,34.0,0.0,14.7,1012.4
2021-09-05,28.3,22.5,34.0,0.0,17.3,1012.9
2021-09-06,27.5,22.6,32.0,0.1,16.0,1013.7
2021-09-07,28.0,22.6,33.0,0.1,14.4,1013.0
2021-09-08,28.1,22.6,34.0,0.0,18.2,1013.0
2021-09-09,27.3,22.9,32.0,2.4,17.9,1014.5
2021-09-10,28.1,23.1,33.1,0.0,17.6,1015.0
2021-09-11,27.8,22.0,33.5,0.0,16.7,1014.5
2021-09-12,27.5,22.7,33.2,0.4,16.8,1014.4
2021-09-13,27.1,22.5,32.0,0.1,11.9,1013.5
2021-09-14,27.7,21.8,33.0,0.0,14.1,1012.7
2021-09-15,28.6,22.2,35.0,0.0,14.3,1012.0
2021-09-16,28.6,23.8,33.0,0.9,14.5,1011.1
2021-09-17,29.4,23.8,35.2,0.0,12.6,1009.7
2021-09-18,29.4,23.1,36.0,0.0,13.9,1010.7
2021-09-19,29.4,23.6,35.0,0.0,14.6,1011.7
2021-09-20,29.1,23.0,35.0,0.0,18.8,1011.9
2021-09-21,28.2,23.4,32.0,0.0,16.2,1012.4
2021-09-22,29.6,23.5,36.0,0.0,17.4,1012.1
2021-09-23,28.9,23.7,35.0,0.5,17.6,1012.1
2021-09-24,28.2,22.4,33.0,0.0,18.1,1012.7
