time,tavg,tmin,tmax,prcp,wspd,pres
2021-01-02,17.7,11.3,23.8,1.6,5.8,1015.2
2021-01-03,18.1,12.4,24.4,0.7,5.5,1014.9
2021-01-04,17.8,11.4,24.4,0.4,7.8,1014.2
2021-01-05,18.0,11.6,24.8,0.6,6.2,1014.2
2021-01-06,18.4,12.5,25.5,0.0,6.2,1014.4
2021-01-07,18.1,11.6,25.2,0.0,7.2,1013.1
2021-01-08,18.0,11.6,24.7,0.4,7.1,1011.9
2021-01-09,18.4,12.5,23.8,12.3,5.1,1011.8
2021-01-10,17.5,14.5,20.6,7.5,5.8,1013.2
2021-01-11,17.4,13.8,20.7,5.6,7.2,1013.5
2021-01-12,18.1,16.0,21.6,1.5,6.6,1014.4
2021-01-13,18.0,13.6,22.3,1.0,5.9,1014.6
2021-01-14,17.5,11.5,23.2,0.5,6.4,1013.5
2021-01-15,18.0,13.9,22.8,3.0,6.5,1013.2
2021-01-16,18.5,14.0,25.5,0.8,5.3,1012.5
2021-01-17,18.9,13.5,25.1,0.5,6.1,1012.2
2021-01-18,18.7,11.7,25.0,1.8,5.9,1012.0
2021-01-19,19.3,14.6,25.9,0.2,6.0,1012.3
2021-01-20,18.4,11.9,26.1,0.4,5.7,1013.7
2021-01-21,18.2,11.4,24.1,1.2,6.7,1014.2
2021-01-22,18.2,14.5,22.5,3.4,4.9,1014.5
2021-01-23,17.8,14.4,23.7,4.4,6.5,1015.0
2021-01-24,18.5,12.4,24.6,0.3,5.6,1014.2
2021-01-25,18.3,13.9,23.6,2.0,5.2,1015.1
2021-01-26,17.8,10.7,24.8,0.3,7.0,1014.9
2021-01-27,17.4,8.8,25.7,1.4,5.9,1014.1
2021-01-28,18.3,10.9,24.0,0.1,6.0,1014.4
2021-01-29,18.1,12.1,24.6,4.3,6.0,1014.9
2021-01-30,18.1,12.0,25.2,0.5,5.5,1014.4
2021-01-31,17.7,9.7,25.7,0.0,7.8,1013.8
2021-02-01,18.0,10.5,25.9,0.0,8.7,1015.2
2021-02-02,18.8,11.4,26.9,1.1,5.2,1015.9
2021-02-03,19.0,14.6,25.4,2.1,5.8,1015.7
2021-02-04,19.3,11.3,27.0,0.0,5.6,1014.6
2021-02-05,19.9,13.1,26.1,0.2,6.1,1014.5
2021-02-06,19.0,13.0,25.2,1.8,6.0,1013.2
2021-02-07,19.1,16.4,23.4,12.8,5.1,1012.4
2021-02-08,17.6,15.8,20.4,21.4,5.4,1013.6
2021-02-09,18.0,14.6,21.5,3.2,7.0,1013.9
2021-02-10,18.7,15.6,23.4,2.6,6.3,1014.1
2021-02-11,19.8,15.6,24.3,0.3,7.0,1013.1
2021-02-12,19.8,15.9,24.4,1.4,5.9,1012.8
2021-02-13,19.3,16.3,25.1,3.0,7.9,1013.8
2021-02-14,20.1,15.6,26.5,1.9,6.2,1013.5
2021-02-15,20.1,15.7,25.4,0.4,6.5,1013.0
2021-02-16,19.8,13.1,25.9,0.3,5.6,1012.3
2021-02-17,19.5,12.5,25.9,0.0,7.6,1012.7
2021-02-18,19.0,10.7,25.9,0.2,6.7,1013.2
2021-02-19,20.7,12.4,27.0,0.0,6.5,1013.2
2021-02-20,20.0,14.2,25.7,0.2,6.8,1014.1
2021-02-21,18.7,14.7,24.7,21.1,4.2,1014.2
2021-02-22,17.8,14.8,21.9,27.5,3.6,1014.9
2021-02-23,18.9,14.3,24.2,1.3,8.2,1014.1
2021-02-24,20.1,15.6,26.9,0.0,9.4,1013.3
2021-02-25,18.8,13.5,25.6,0.9,6.5,1013.3
2021-02-26,19.1,11.4,26.1,0.0,6.7,1012.6
2021-02-27,20.0,10.2,28.5,0.0,5.4,1011.5
2021-02-28,20.6,11.5,28.6,0.0,5.2,1011.7
2021-03-01,19.9,13.4,27.0,0.6,5.8,1012.5
2021-03-02,20.1,14.1,25.6,0.5,7.1,1013.4
2021-03-03,19.9,12.1,27.2,0.1,7.1,1012.3
2021-03-04,19.6,13.9,24.7,2.5,5.5,1013.4
2021-03-05,19.4,13.2,25.4,12.6,5.4,1013.9
