time,tavg,tmin,tmax,prcp,wspd,pres
2015-02-02,25.4,20.0,29.0,5.8,5.2,1014.3
2015-02-03,25.0,20.0,29.0,5.8,6.6,1014.3
2015-02-05,24.5,20.0,29.0,5.8,7.0,1014.3
2015-02-07,24.4,20.0,29.0,5.8,4.6,1014.3
2015-02-08,24.0,20.0,29.0,5.8,6.8,1014.3
2015-02-09,24.0,20.0,29.0,5.8,4.1,1014.3
2015-02-10,24.6,20.0,29.0,5.8,4.9,1014.3
2015-02-11,25.1,20.0,29.0,5.8,6.7,1014.3
2015-02-13,26.4,20.0,29.0,5.8,5.8,1014.3
2015-02-14,26.2,20.0,29.0,5.8,6.5,1014.3
2015-02-15,24.3,20.0,29.0,5.8,8.0,1014.3
2015-02-18,24.5,20.0,29.0,5.8,4.6,1014.3
2015-02-19,24.8,20.0,29.0,5.8,4.6,1014.3
2015-02-25,26.3,20.0,29.0,5.8,3.1,1014.3
2015-02-26,26.3,20.0,29.0,5.8,2.3,1014.3
2015-02-27,27.0,20.0,29.0,5.8,5.3,1014.3
2015-03-01,26.7,20.0,29.0,5.8,2.2,1014.3
2015-03-02,25.8,20.0,32.0,5.8,2.4,1014.3
2015-03-03,26.0,20.0,32.0,5.8,5.0,1014.3
2015-03-04,25.6,17.0,33.0,5.8,6.0,1014.3
2015-03-05,25.6,19.0,33.0,5.8,7.1,1014.3
2015-03-06,25.6,19.0,33.0,5.8,6.5,1014.3
2015-03-07,25.9,19.0,33.0,5.8,5.9,1014.3
2015-03-08,25.9,19.0,33.0,5.8,8.5,1014.3
2015-03-09,25.3,19.0,33.0,5.8,8.9,1014.3
2015-03-10,25.7,19.0,33.0,5.8,9.1,1014.3
2015-03-11,26.0,20.0,33.0,5.8,6.8,1014.3
2015-03-12,24.6,19.0,30.0,5.8,4.6,1014.3
2015-03-13,24.0,19.0,30.0,5.8,6.1,1014.3
2015-03-14,24.4,19.0,30.0,5.8,9.6,1014.3
2015-03-15,25.4,19.0,30.0,5.8,6.6,1014.3
2015-03-16,26.0,19.0,30.0,5.8,9.3,1014.3
2015-03-25,24.7,20.0,31.0,5.8,7.9,1014.3
2015-03-26,22.5,20.0,26.0,5.8,4.1,1014.3
2015-03-27,24.0,20.0,26.0,5.8,5.4,1014.3
2015-03-28,24.0,20.0,26.0,5.8,6.3,1014.3
2015-03-29,24.7,19.0,31.0,5.8,6.8,1014.3
2015-03-30,25.0,20.0,31.0,5.8,4.4,1014.3
2015-03-31,25.4,20.0,31.0,5.8,6.4,1014.3
2015-04-01,25.0,20.0,31.0,5.8,7.6,1014.3
2015-04-02,24.9,20.0,31.0,5.8,6.9,1014.3
2015-04-03,24.6,20.0,31.0,5.8,6.6,1014.3
2015-04-04,24.3,20.0,31.0,5.8,3.4,1014.3
2015-04-05,24.7,20.0,31.0,5.8,4.4,1014.3
2015-04-06,25.4,22.0,31.0,5.8,4.9,1014.3
2015-04-15,25.1,21.0,30.0,5.8,6.6,1014.3
2015-04-16,25.0,21.0,30.0,5.8,7.0,1014.3
2015-04-17,22.7,21.0,30.0,5.8,3.6,1014.3
2015-04-18,24.2,21.0,30.0,5.8,3.4,1014.3
2015-04-19,24.4,21.0,30.0,5.8,3.4,1014.3
2015-04-20,24.8,21.0,30.0,5.8,2.6,1014.3
2015-04-21,24.8,21.0,30.0,5.8,5.7,1014.3
2015-04-22,24.8,21.0,30.0,5.8,4.2,1014.3
2015-04-23,24.8,21.0,30.0,5.8,6.0,1014.3
2015-04-24,25.4,20.0,31.0,5.8,7.0,1014.3
2015-04-25,23.8,20.0,31.0,5.8,4.6,1014.3
2015-04-26,25.3,20.0,31.0,5.8,4.3,1014.3
2015-04-27,23.9,21.0,30.0,5.8,8.0,1014.3
2015-04-28,23.9,21.0,30.0,5.8,3.9,1014.3
2015-04-29,22.6,21.0,30.0,5.8,2.5,1014.3
2015-05-02,23.0,21.0,30.0,5.8,3.3,1014.3
2015-05-06,23.2,21.0,30.0,5.8,4.1,1014.3
2015-05-07,23.2,21.0,30.0,5.8,2.8,1014.3
2015-05-08,23.6,21.0,30.0,5.8,5.4,1014.3
2015-05-09,22.0,21.0,30.0,5.8,4.8,1014.3
2015-05-10,23.0,18.0,29.0,5.8,3.8,1014.3
2015-05-11,23.1,18.0,29.0,5.8,3.6,1014.3
2015-05-13,23.8,18.0,29.0,5.8,5.7,1014.3
2015-05-14,24.5,21.0,30.0,5.8,6.6,1014.3
2015-05-15,24.0,19.0,30.0,5.8,6.2,1014.3
2015-05-16,22.5,19.0,30.0,5.8,7.5,1014.3
2015-05-19,23.2,19.0,30.0,5.8,7.2,1014.3
2015-05-20,23.0,19.0,30.0,5.8,5.4,1014.3
2015-05-21,23.0,19.0,30.0,5.8,4.9,1014.3
2015-05-22,22.9,17.0,29.0,5.8,4.6,1014.3
2015-05-23,23.1,18.0,29.0,5.8,5.8,1014.3
2015-05-24,23.4,19.0,29.0,5.8,6.6,1014.3
2015-05-25,23.1,20.0,28.0,5.8,7.0,1014.3
2015-05-26,22.1,16.0,27.0,5.8,3.8,1014.3
2015-05-27,22.8,16.0,27.0,5.8,6.2,1014.3
2015-05-28,23.0,16.0,27.0,5.8,4.2,1014.3
2015-05-29,21.3,16.0,27.0,5.8,3.3,1014.3
2015-05-30,22.3,16.0,27.0,5.8,3.8,1014.3
2015-05-31,21.2,19.0,24.0,5.8,5.2,1014.3
2015-06-01,20.8,19.0,24.0,5.8,5.1,1014.3
2015-06-02,22.1,19.0,24.0,5.8,2.8,1014.3
2015-06-03,22.5,17.0,28.0,5.8,3.6,1014.3
2015-06-04,23.4,17.0,28.0,5.8,5.9,1014.3
2015-06-05,22.6,17.0,28.0,5.8,6.8,1014.3
