time,tavg,tmin,tmax,prcp,wspd,pres
2015-12-11,16.8,13.0,24.0,4.1,14.8,1022.1
2016-04-10,18.9,13.0,24.0,4.1,14.8,1022.1
2016-10-26,18.0,13.0,24.0,4.1,14.8,1022.1
2016-11-11,18.0,13.0,24.0,4.1,14.8,1022.1
2016-11-12,18.5,13.0,24.0,4.1,14.8,1022.1
2016-12-03,17.4,13.0,24.0,4.1,14.8,1022.1
2016-12-05,18.3,13.0,24.0,4.1,14.8,1022.1
2016-12-06,18.8,13.0,24.0,4.1,14.8,1022.1
2016-12-07,15.3,13.0,24.0,4.1,14.8,1022.1
2016-12-08,19.4,13.0,24.0,4.1,14.8,1022.1
2016-12-10,20.1,13.0,24.0,4.1,14.8,1022.1
2016-12-11,20.7,13.0,24.0,4.1,14.8,1022.1
2016-12-12,18.7,13.0,24.0,4.1,14.8,1022.1
2016-12-13,16.8,13.0,24.0,4.1,14.8,1022.1
2016-12-15,20.7,13.0,24.0,4.1,14.8,1022.1
2016-12-16,19.3,13.0,24.0,4.1,14.8,1022.1
2016-12-17,19.1,13.0,24.0,4.1,14.8,1022.1
2016-12-18,20.7,13.0,24.0,4.1,14.8,1022.1
2016-12-19,18.8,13.0,24.0,4.1,14.8,1022.1
2016-12-20,17.7,13.0,24.0,4.1,14.8,1022.1
2016-12-21,19.6,13.0,24.0,4.1,21.5,1022.1
2016-12-22,17.7,13.0,24.0,4.1,21.4,1022.1
2016-12-23,18.0,13.0,24.0,4.1,23.9,1022.1
2016-12-24,18.4,13.0,24.0,4.1,22.0,1022.1
2016-12-25,18.1,13.0,24.0,4.1,21.2,1022.1
2016-12-26,18.9,13.0,24.0,4.1,27.4,1022.1
2016-12-27,18.3,13.0,24.0,4.1,18.4,1022.1
2016-12-28,19.4,9.0,26.0,4.1,12.1,1022.1
2016-12-29,18.7,9.0,26.0,4.1,12.1,1022.1
2016-12-30,18.3,13.0,25.0,4.1,9.7,1022.1
2016-12-31,13.2,13.0,25.0,4.1,9.7,1022.1
2017-01-01,19.2,13.0,25.0,4.1,9.7,1022.1
2017-01-02,18.0,12.0,25.0,4.1,14.7,1022.1
2017-01-03,17.7,12.0,25.0,4.1,14.2,1022.1
2017-01-04,19.3,12.0,25.0,4.1,19.8,1022.1
2017-01-05,18.1,12.0,25.0,4.1,19.8,1022.1
2017-01-06,17.6,12.0,25.0,4.1,19.8,1022.1
2017-01-07,19.5,12.0,25.0,4.1,13.0,1022.1
2017-01-08,18.9,12.0,25.0,4.1,9.2,1022.1
2017-01-09,18.4,12.0,25.0,4.1,8.0,1022.1
2017-01-10,18.9,12.0,25.0,4.1,12.0,1022.1
2017-01-11,18.9,12.0,25.0,4.1,12.0,1022.1
2017-01-12,17.1,12.0,25.0,4.1,15.1,1022.1
2017-01-13,18.5,10.0,26.4,4.1,14.1,1022.1
2017-01-14,18.8,11.0,25.0,4.1,10.5,1022.1
2017-01-15,19.9,11.0,25.0,4.1,14.0,1022.1
2017-01-16,18.7,11.0,26.0,4.1,18.2,1022.1
2017-01-17,18.7,9.0,27.0,4.1,22.3,1022.1
2017-01-18,18.7,9.0,27.0,4.1,19.3,1022.1
2017-01-19,19.3,9.0,27.0,4.1,13.0,1022.1
