time,tavg,tmin,tmax,prcp,wspd,pres
2015-01-27,21.2,14.0,29.0,0.7,11.8,1019.3
2015-01-28,21.6,14.0,29.0,0.7,15.1,1019.3
2015-01-29,21.6,15.0,28.0,0.7,12.9,1019.3
2015-01-30,22.1,15.0,28.0,0.7,15.5,1019.3
2015-02-01,22.5,15.0,28.0,0.7,15.4,1019.3
2015-02-02,22.2,15.0,28.0,0.7,13.6,1019.3
2015-02-03,22.2,15.0,28.0,0.7,16.0,1019.3
2015-02-04,21.4,15.0,28.0,0.7,19.5,1019.3
2015-02-05,22.0,15.0,28.0,0.7,16.8,1019.3
2015-02-07,22.3,15.0,28.0,0.7,16.1,1019.3
2015-02-08,21.3,15.0,28.0,0.7,15.3,1019.3
2015-02-09,22.0,15.0,28.0,0.7,17.0,1019.3
2015-02-10,21.8,16.0,28.0,0.7,22.3,1019.3
2015-02-11,22.2,16.0,28.0,0.7,12.9,1019.3
2015-02-12,22.7,16.0,28.0,0.7,11.3,1019.3
2015-02-13,23.6,17.0,30.0,0.7,12.6,1019.3
2015-02-14,23.1,17.0,30.0,0.7,11.6,1019.3
2015-02-15,21.0,19.0,24.0,0.7,11.6,1019.3
2015-02-16,21.6,18.0,28.0,0.7,7.5,1019.3
2015-02-17,20.6,18.0,28.0,0.7,14.1,1019.3
2015-02-18,22.1,18.0,27.0,0.7,11.9,1019.3
2015-02-19,22.0,17.0,27.0,0.7,13.8,1019.3
2015-02-20,21.8,18.0,27.0,0.7,16.1,1019.3
2015-02-21,22.8,18.0,29.0,0.7,13.9,1019.3
2015-02-22,22.4,18.0,29.0,0.7,13.6,1019.3
2015-02-23,21.8,16.0,28.0,0.7,12.7,1019.3
2015-02-24,22.4,15.0,29.0,0.7,12.1,1019.3
2015-02-27,22.9,15.0,29.0,0.7,16.1,1019.3
2015-02-28,22.8,15.0,29.0,0.7,13.5,1019.3
2015-03-03,21.6,15.0,28.0,0.7,15.6,1019.3
2015-03-06,22.3,15.0,28.0,0.7,13.0,1019.3
2015-03-07,22.5,15.0,28.0,0.7,17.1,1019.3
2015-03-08,22.4,15.0,28.0,0.7,15.5,1019.3
2015-03-11,21.9,15.0,28.0,0.7,15.3,1019.3
2015-03-12,22.1,15.0,28.0,0.7,16.5,1019.3
2015-03-13,21.6,15.0,28.0,0.7,20.2,1019.3
2015-03-16,22.2,16.0,28.0,0.7,21.4,1019.3
2015-03-19,22.3,17.0,29.0,0.7,18.9,1019.3
2015-03-25,21.2,18.0,27.0,0.7,18.5,1019.3
2015-03-28,20.7,18.0,27.0,0.7,17.6,1019.3
2015-03-29,21.3,18.0,27.0,0.7,15.5,1019.3
2015-04-01,22.4,18.0,28.0,0.7,12.0,1019.3
2015-04-04,19.8,18.0,28.0,0.7,12.7,1019.3
2015-04-05,20.6,16.0,27.0,0.7,10.7,1019.3
2015-04-08,22.4,18.0,29.0,0.7,9.6,1019.3
2015-04-09,20.4,18.0,29.0,0.7,10.4,1019.3
2015-04-16,21.8,18.0,26.0,0.7,10.9,1019.3
2015-04-17,18.8,18.0,26.0,0.7,7.4,1019.3
2015-04-18,20.1,18.0,26.0,0.7,5.1,1019.3
2015-04-21,21.0,17.0,26.0,0.7,13.1,1019.3
2015-04-24,20.5,17.0,26.0,0.7,10.1,1019.3
2015-04-25,20.8,17.0,26.0,0.7,10.1,1019.3
2015-04-26,19.7,16.0,27.0,0.7,10.5,1019.3
2015-04-29,19.6,16.0,25.0,0.7,8.9,1019.3
2015-05-07,20.4,16.0,25.0,0.7,11.1,1019.3
2015-05-10,20.8,16.0,25.0,0.7,10.5,1019.3
2015-05-11,20.4,16.0,25.0,0.7,11.4,1019.3
2015-05-22,19.9,16.0,25.0,0.7,10.4,1019.3
2015-05-23,20.0,16.0,25.0,0.7,7.4,1019.3
2015-05-29,20.0,16.0,25.0,0.7,7.4,1019.3
2015-06-05,20.2,16.0,26.0,0.7,5.7,1019.3
2015-06-10,17.9,12.0,24.0,0.7,5.6,1019.3
2015-06-11,19.6,12.0,24.0,0.7,5.6,1019.3
2015-06-12,18.5,12.0,24.0,0.7,4.5,1019.3
2015-06-13,18.0,14.0,23.0,0.7,5.1,1019.3
2015-06-14,19.3,14.0,23.0,0.7,6.8,1019.3
2015-06-15,20.4,14.0,23.0,0.7,4.1,1019.3
2025-07-14,18.9,13.2,24.1,0.7,9.2,1019.3
2025-07-15,18.7,13.1,24.0,0.2,8.3,1018.4
2025-07-16,18.9,13.9,23.8,0.7,8.0,1018.0
2025-07-17,18.8,14.2,24.2,0.8,7.5,1018.9
2025-07-18,19.2,15.3,23.9,0.9,8.6,1019.5
2025-07-19,19.6,15.3,25.2,1.6,10.4,1018.3
2025-07-20,18.2,12.5,25.0,0.0,10.2,1016.8
2025-07-21,18.0,11.9,25.3,0.0,9.7,1016.4
2025-07-22,17.7,12.9,24.1,0.0,10.3,1018.0
2025-07-23,17.0,13.4,21.2,0.3,8.3,1018.9
2025-07-24,18.2,12.0,25.6,0.0,9.7,1017.6
2025-07-25,19.7,13.3,27.6,0.0,11.0,1017.2
2025-07-26,19.2,12.4,26.6,0.0,10.0,1018.2
2025-07-27,18.9,12.1,26.7,0.0,8.8,1019.0
2025-07-28,18.5,12.0,26.4,0.0,11.4,1019.6
2025-07-29,18.4,14.3,24.4,0.3,10.3,1020.3
2025-07-30,18.7,13.2,27.5,0.0,11.8,1020.8
