time,tavg,tmin,tmax,prcp,wspd,pres
2015-01-01,20.5,14.0,28.0,3.0,13.6,1020.4
2015-01-02,21.0,14.0,28.0,3.0,16.1,1020.4
2015-01-03,20.8,13.0,28.0,3.0,13.6,1020.4
2015-01-04,21.5,13.0,28.0,3.0,12.2,1020.4
2015-01-05,22.1,11.5,30.1,3.0,11.3,1020.4
2015-01-06,21.6,11.5,29.5,3.0,12.4,1020.4
2015-01-07,21.3,16.0,28.5,3.0,13.6,1020.4
2015-01-08,21.5,13.5,29.0,3.0,15.6,1020.4
2015-01-09,21.7,14.7,28.8,3.0,17.9,1020.4
2015-01-10,22.4,14.6,29.7,3.0,10.2,1020.4
2015-01-11,22.6,16.5,29.4,3.0,12.3,1020.4
2015-01-12,22.1,16.3,28.5,3.0,17.9,1020.4
2015-01-13,21.6,14.5,29.0,3.0,17.4,1020.4
2015-01-14,21.2,13.7,29.4,3.0,19.8,1020.4
2015-01-15,21.1,9.0,31.3,3.0,16.1,1020.4
2015-01-16,22.2,9.0,30.5,3.0,14.4,1020.4
2015-01-17,21.6,11.0,29.3,3.0,13.3,1020.4
2015-01-18,21.9,13.0,30.0,3.0,11.0,1020.4
2015-01-19,21.8,14.0,28.0,3.0,10.3,1020.4
2015-01-20,20.5,17.0,27.0,3.0,12.3,1020.4
2015-01-21,21.1,16.5,28.0,3.0,18.1,1020.4
2015-01-22,20.3,16.5,28.0,3.0,21.4,1020.4
2015-01-23,21.1,15.0,28.0,3.0,18.0,1020.4
2015-01-24,21.3,15.0,27.5,3.0,20.3,1020.4
2015-01-25,20.6,15.0,29.0,3.0,19.5,1020.4
2015-01-26,20.7,14.0,28.0,3.0,16.0,1020.4
2015-01-27,21.6,13.0,30.0,3.0,14.9,1020.4
2015-01-28,21.2,14.5,29.8,3.0,16.4,1020.4
2015-01-29,21.7,14.5,30.0,3.0,15.7,1020.4
2015-01-30,21.6,11.1,30.2,3.0,16.1,1020.4
2015-01-31,22.1,11.5,30.0,3.0,15.4,1020.4
2015-02-01,22.1,12.8,31.2,3.0,16.6,1020.4
2015-02-02,22.0,14.3,30.0,3.0,18.9,1020.4
2015-02-03,21.9,14.3,30.5,3.0,19.2,1020.4
2015-02-04,21.2,14.0,29.0,3.0,22.1,1020.4
2015-02-05,22.1,12.0,30.2,3.0,18.9,1020.4
2015-02-06,22.7,15.0,29.6,3.0,18.0,1020.4
2015-02-07,21.8,15.3,29.1,3.0,18.8,1020.4
2015-02-08,21.3,13.3,29.2,3.0,18.6,1020.4
2015-02-09,22.3,13.5,30.1,3.0,19.0,1020.4
2015-02-10,21.6,15.0,29.5,3.0,21.5,1020.4
2015-02-11,22.1,14.5,29.8,3.0,14.2,1020.4
2015-02-12,23.2,16.0,31.0,3.0,14.6,1020.4
2015-02-13,23.0,15.5,31.5,3.0,15.9,1020.4
2015-02-14,23.4,13.6,31.5,3.0,12.0,1020.4
2015-02-15,20.8,17.0,27.0,3.0,13.1,1020.4
2015-02-16,21.4,11.0,30.6,0.0,12.8,1020.4
2015-02-17,20.6,11.0,30.6,0.0,16.1,1020.4
2015-02-18,21.7,18.0,27.5,0.0,14.4,1020.4
2015-02-19,21.8,15.2,28.0,0.0,13.6,1020.4
2015-02-20,22.0,17.0,28.0,0.0,18.0,1020.4
