month,rain_index,temp_index,wind_index,pressure_index,climate_index,station_id,last_computed_at
1,0.3035333575997088,0.43055850503127036,0.47899352422698926,0.25000000000001266,0.36577134671449524,HKRE0_Nairobi_-_Doonholm,2026-01-10 18:41:10.708167
2,0.3035333575997088,0.8413156887678841,0.7625075365712791,0.2500000000000253,0.5393391457347243,HKRE0_Nairobi_-_Doonholm,2026-01-10 18:41:10.708167
3,0.3035333575997088,0.6610829053208925,0.7944089338084453,0.2500000000000455,0.502256299182273,HKRE0_Nairobi_-_Doonholm,2026-01-10 18:41:10.708167
4,0.3035333575997088,0.6683330553805578,0.3900149652758833,0.25000000000003797,0.40297034456404696,HKRE0_Nairobi_-_Doonholm,2026-01-10 18:41:10.708167
5,0.3035333575997088,0.17399267399267396,0.3693054368993753,0.25000000000000755,0.2742078671229414,HKRE0_Nairobi_-_Doonholm,2026-01-10 18:41:10.708167
6,0.3035333575997088,0.41278147400596393,0.16269772398460094,0.25,0.2822531388975684,HKRE0_Nairobi_-_Doonholm,2026-01-10 18:41:10.708167
7,0.1867861817289576,0.24281709944025195,0.1441581107731171,0.12942082766577812,0.1757955549020262,HKRE0_Nairobi_-_Doonholm,2026-01-10 18:41:10.708167
8,0.5614702599818138,0.2583608654979393,0.11984682436429482,0.38796684243352186,0.3319111980693924,HKRE0_Nairobi_-_Doonholm,2026-01-10 18:41:10.708167
9,0.44673258206615807,0.25413433743911584,0.22766088087683192,0.6960425947734277,0.40614259878888337,HKRE0_Nairobi_-_Doonholm,2026-01-10 18:41:10.708167
10,0.8446052997962306,0.3702019857939989,0.17459952671419468,0.7301980198019905,0.5299012080266037,HKRE0_Nairobi_-_Doonholm,2026-01-10 18:41:10.708167
