time,tavg,tmin,tmax,prcp,wspd,pres
2015-01-05,23.0,20.0,31.0,2.7,10.6,1016.4
2015-01-24,25.3,20.0,31.0,2.7,12.4,1016.4
2015-01-25,24.3,20.0,31.0,2.7,13.8,1016.4
2015-02-04,26.3,20.0,31.0,2.7,13.8,1016.4
2015-03-10,28.0,20.0,31.0,2.7,14.5,1016.4
2015-03-14,28.4,20.0,31.0,2.7,11.1,1016.4
2015-03-19,27.9,20.0,31.0,2.7,11.1,1016.4
2015-03-20,27.4,20.0,31.0,2.7,12.2,1016.4
2015-03-21,25.6,20.0,31.0,2.7,12.2,1016.4
2015-03-22,25.3,20.0,31.0,2.7,11.7,1016.4
2015-03-24,24.4,20.0,31.0,2.7,13.5,1016.4
2015-03-28,24.3,20.0,31.0,2.7,12.1,1016.4
2015-03-29,21.8,18.0,28.0,2.7,13.8,1016.4
2015-03-30,22.1,18.0,28.0,2.7,11.0,1016.4
2015-04-05,22.1,18.0,28.0,2.7,9.2,1016.4
2015-04-19,21.5,18.0,28.0,2.7,11.2,1016.4
2015-04-26,21.5,18.0,28.0,2.7,10.0,1016.4
2015-04-28,21.5,18.0,28.0,2.7,6.7,1016.4
2015-05-01,22.9,20.0,28.0,2.7,3.5,1016.4
2015-05-02,22.3,19.0,30.0,2.7,4.8,1016.4
2015-05-08,22.3,19.0,30.0,2.7,5.7,1016.4
2015-05-16,23.7,19.0,30.0,2.7,5.7,1016.4
2015-05-19,22.2,19.0,30.0,2.7,9.0,1016.4
2015-05-21,24.1,19.0,30.0,2.7,10.4,1016.4
2015-05-22,22.7,19.0,30.0,2.7,8.4,1016.4
2015-05-23,21.7,19.0,30.0,2.7,6.7,1016.4
2015-05-25,22.4,19.0,30.0,2.7,5.6,1016.4
2015-05-26,21.5,19.0,30.0,2.7,13.2,1016.4
2015-05-27,21.4,19.0,30.0,2.7,8.6,1016.4
2015-05-28,22.8,19.0,30.0,2.7,3.7,1016.4
2015-06-02,21.5,19.0,30.0,2.7,3.7,1016.4
2015-06-04,23.5,19.0,30.0,2.7,4.6,1016.4
2015-06-05,23.2,19.0,30.0,2.7,7.8,1016.4
2015-07-25,22.4,19.0,30.0,2.7,8.7,1016.4
2015-07-26,21.9,19.0,30.0,2.7,12.0,1016.4
2015-07-27,23.2,19.0,30.0,2.7,5.3,1016.4
2015-08-02,22.4,19.0,30.0,2.7,8.3,1016.4
2015-08-03,22.1,19.0,30.0,2.7,6.6,1016.4
2015-08-08,22.3,19.0,30.0,2.7,4.6,1016.4
2015-08-20,23.2,19.0,30.0,2.7,8.9,1016.4
2015-08-21,24.9,19.0,30.0,2.7,13.4,1016.4
2015-08-22,23.8,19.0,30.0,2.7,9.7,1016.4
2015-08-23,22.8,19.0,30.0,2.7,10.0,1016.4
2015-08-29,23.3,19.0,30.0,2.7,8.0,1016.4
2015-08-30,23.3,19.0,30.0,2.7,11.4,1016.4
2015-09-17,23.2,19.0,30.0,2.7,11.4,1016.4
2015-09-18,23.1,19.0,30.0,2.7,7.6,1016.4
2015-09-23,23.8,19.0,30.0,2.7,10.4,1016.4
2015-09-24,24.1,19.0,30.0,2.7,11.9,1016.4
2015-09-26,23.8,19.0,30.0,2.7,9.0,1016.4
2015-09-27,23.7,19.0,30.0,2.7,7.3,1016.4
2015-09-28,23.9,19.0,30.0,2.7,7.3,1016.4
2015-09-29,23.3,19.0,30.0,2.7,12.0,1016.4
2015-09-30,23.8,19.0,30.0,2.7,12.0,1016.4
2015-10-01,24.5,19.0,31.1,2.7,9.3,1016.4
2015-10-02,23.3,19.0,31.1,2.7,8.4,1016.4
2015-10-05,25.0,19.0,31.1,2.7,6.6,1016.4
2015-10-06,25.4,19.0,31.1,2.7,11.8,1016.4
2015-10-08,24.5,19.0,31.1,2.7,7.0,1016.4
2015-10-10,24.8,19.0,31.1,2.7,7.0,1016.4
2015-10-11,23.8,19.0,31.1,2.7,6.3,1016.4
2015-10-12,24.2,19.0,31.1,2.7,8.9,1016.4
2015-10-14,23.5,18.0,31.0,2.7,8.3,1016.4
2015-10-18,22.8,18.0,31.0,2.7,6.1,1016.4
2015-10-20,22.9,18.0,28.5,2.7,9.1,1016.4
2015-10-21,23.5,18.0,28.5,2.7,9.4,1016.4
2015-10-22,22.8,20.0,30.0,2.7,8.7,1016.4
2015-10-23,22.4,20.0,30.0,2.7,5.9,1016.4
2015-10-26,22.4,20.0,30.0,2.7,6.5,1016.4
2015-10-27,22.5,20.0,30.0,2.7,8.3,1016.4
2015-10-28,23.3,20.0,30.0,2.7,7.3,1016.4
2015-11-05,22.1,20.0,30.0,2.7,7.8,1016.4
2015-11-06,22.4,18.0,28.0,2.7,6.3,1016.4
2015-11-07,22.8,19.0,28.0,2.7,8.9,1016.4
2015-11-08,23.2,19.0,28.0,2.7,12.4,1016.4
2015-11-12,22.7,19.0,28.0,2.7,4.4,1016.4
2015-11-14,23.5,19.0,28.0,2.7,5.5,1016.4
2015-11-20,22.6,19.0,28.0,2.7,5.5,1016.4
2015-11-21,21.8,19.0,28.0,2.7,5.5,1016.4
2015-11-22,22.5,20.0,27.0,2.7,3.7,1016.4
2015-11-23,23.5,20.0,27.0,2.7,8.2,1016.4
2015-11-29,23.2,20.0,27.0,2.7,6.9,1016.4
2015-11-30,21.9,20.0,27.0,2.7,6.9,1016.4
2015-12-03,22.7,20.0,27.0,2.7,6.9,1016.4
2015-12-06,21.2,20.0,27.0,2.7,4.7,1016.4
2015-12-07,22.8,20.0,27.0,2.7,4.7,1016.4
2015-12-09,23.4,19.0,29.0,2.7,6.4,1016.4
2015-12-14,20.3,19.0,29.0,2.7,6.4,1016.4
2015-12-16,21.6,18.0,25.0,2.7,1.5,1016.4
