time,tavg,tmin,tmax,prcp,wspd,pres
2015-01-05,20.4,13.2,26.0,0.4,9.0,1014.4
2015-01-06,20.4,13.2,26.0,0.4,5.0,1014.4
2015-01-07,20.5,13.2,26.0,0.4,1.9,1014.4
2015-01-08,20.9,13.2,26.0,0.4,7.4,1014.4
2015-01-09,19.9,13.2,26.0,0.4,9.3,1014.4
2015-01-10,20.7,13.2,26.0,0.4,1.8,1014.4
2015-01-11,21.2,13.2,26.0,0.4,7.5,1014.4
2015-01-12,20.8,14.0,27.0,0.4,6.5,1014.4
2015-01-13,20.1,11.0,28.0,0.4,5.5,1014.4
2015-01-14,19.7,10.0,27.0,0.4,6.6,1014.4
2015-01-15,20.2,9.0,29.0,0.4,2.8,1014.4
2015-01-16,20.4,9.0,29.0,0.4,5.4,1014.4
2015-01-18,20.6,10.0,29.0,0.4,5.2,1014.4
2015-01-19,21.7,10.0,29.0,0.4,6.0,1014.4
2015-01-22,20.6,12.0,28.0,0.4,4.4,1014.4
2015-01-23,20.8,12.0,29.0,0.4,4.9,1014.4
2015-01-24,20.6,12.0,29.0,0.4,4.0,1014.4
2015-01-25,19.9,10.0,28.0,0.4,6.7,1014.4
2015-01-26,19.9,10.0,27.0,0.4,5.3,1014.4
2015-01-27,20.0,10.0,29.0,0.4,4.6,1014.4
2015-01-28,20.5,11.7,28.0,0.4,4.6,1014.4
2015-01-29,20.7,11.7,28.0,0.4,6.8,1014.4
2015-01-30,20.4,11.3,28.0,0.4,6.0,1014.4
2015-01-31,20.5,10.0,29.0,0.4,6.4,1014.4
2015-02-01,20.8,10.0,29.0,0.4,6.2,1014.4
2015-02-02,21.0,12.0,29.0,0.4,6.8,1014.4
2015-02-03,20.8,12.0,29.0,0.4,6.1,1014.4
2015-02-04,21.1,12.0,29.0,0.4,12.5,1014.4
2015-02-05,21.4,11.0,30.0,0.4,5.1,1014.4
2015-02-06,21.4,11.0,30.0,0.4,6.3,1014.4
2015-02-07,22.0,11.0,30.0,0.4,4.9,1014.4
2015-02-08,21.4,11.0,30.0,0.4,6.8,1014.4
2015-02-09,21.8,12.0,30.0,0.4,8.0,1014.4
2015-02-10,21.3,12.0,30.0,0.4,12.0,1014.4
2015-02-11,20.6,11.0,30.0,0.4,7.8,1014.4
2015-02-12,21.5,11.0,29.0,0.4,6.8,1014.4
2015-02-13,23.1,13.0,30.0,0.4,6.8,1014.4
2015-02-14,22.6,13.0,30.0,0.4,7.4,1014.4
2015-02-15,20.9,17.0,25.1,0.4,4.6,1014.4
2015-02-16,21.0,17.0,28.0,0.4,5.0,1014.4
2015-02-17,19.8,14.5,28.5,0.4,7.7,1014.4
2015-02-18,20.5,14.5,28.5,0.4,5.1,1014.4
2015-02-20,21.5,12.0,30.0,0.4,15.5,1014.4
2015-02-22,22.5,12.0,30.0,0.4,6.9,1014.4
2015-02-23,22.1,13.0,30.2,0.4,5.6,1014.4
2015-02-25,21.8,13.0,30.2,0.4,2.4,1014.4
2015-03-05,21.8,13.0,30.2,0.4,8.4,1014.4
2015-03-06,21.4,13.0,30.2,0.4,14.0,1014.4
2015-03-08,21.4,13.0,30.2,0.4,16.7,1014.4
2015-03-10,21.4,13.0,30.2,0.4,9.9,1014.4
2015-03-11,21.4,13.0,30.2,0.4,5.8,1014.4
2015-03-12,21.3,13.0,30.2,0.4,5.4,1014.4
2015-03-21,21.7,13.0,30.2,0.4,7.3,1014.4
2015-03-22,21.5,13.0,30.2,0.4,3.2,1014.4
2015-03-26,20.1,13.0,30.2,0.4,7.6,1014.4
2015-03-27,21.3,13.0,30.2,0.4,12.2,1014.4
