time,tavg,tmin,tmax,prcp,wspd,pres
2015-01-03,16.7,6.0,26.0,0.0,8.3,1015.1
2015-01-04,17.6,6.0,26.0,0.0,12.1,1015.1
2015-01-05,16.7,8.0,25.0,0.0,11.5,1015.1
2015-01-07,17.6,8.0,25.0,0.0,10.0,1015.1
2015-01-08,17.8,8.0,25.0,0.0,12.1,1015.1
2015-01-09,17.7,10.0,25.0,0.0,13.0,1015.1
2015-01-10,15.6,10.6,23.0,0.0,10.2,1015.1
2015-01-11,17.4,14.0,23.7,0.0,6.1,1015.1
2015-01-12,16.5,14.0,23.7,0.0,13.0,1015.1
2015-01-15,18.2,10.5,26.0,0.0,12.0,1015.1
2015-01-16,17.8,10.0,26.0,0.0,10.9,1015.1
2015-01-17,17.5,9.0,26.0,0.0,11.4,1015.1
2015-01-18,17.7,10.0,25.0,0.0,11.8,1015.1
2015-01-19,17.5,10.0,25.0,0.0,8.8,1015.1
2015-01-22,18.5,10.0,26.0,0.0,17.1,1015.1
2015-01-23,17.8,9.6,27.0,0.0,14.3,1015.1
2015-01-24,18.1,10.8,26.0,0.0,17.2,1015.1
2015-01-25,17.9,11.0,25.4,0.0,16.7,1015.1
2015-01-26,18.3,11.0,25.4,0.0,13.5,1015.1
2015-01-27,18.3,11.0,25.4,0.0,8.7,1015.1
2015-01-28,18.0,11.0,25.4,0.0,11.6,1015.1
2015-01-29,17.9,11.0,25.4,0.0,12.8,1015.1
2015-01-30,17.5,11.0,25.4,0.0,12.9,1015.1
2015-02-01,18.7,9.0,27.0,0.0,13.4,1015.1
2015-02-02,19.2,13.4,27.0,0.0,16.9,1015.1
2015-02-04,19.3,13.4,27.0,0.0,15.5,1015.1
2015-02-05,18.7,13.4,27.0,0.0,13.8,1015.1
2015-02-06,18.8,13.4,27.0,0.0,16.3,1015.1
2015-02-07,19.2,11.0,26.0,0.0,20.6,1015.1
2015-02-08,18.6,10.0,27.0,0.0,13.1,1015.1
2015-02-09,18.6,10.0,27.0,0.0,18.6,1015.1
2015-02-10,18.1,10.0,27.0,0.0,16.1,1015.1
2015-02-11,18.5,10.0,27.0,0.0,17.1,1015.1
2015-02-13,18.9,10.0,27.0,0.0,9.4,1015.1
2015-02-14,17.7,10.0,26.3,0.0,10.1,1015.1
2015-02-15,17.4,10.0,26.3,0.0,7.2,1015.1
2015-02-16,17.6,11.8,26.0,0.0,9.9,1015.1
2015-02-17,17.4,11.8,26.0,0.0,9.8,1015.1
2015-02-18,18.2,11.8,26.0,0.0,11.3,1015.1
2015-02-20,19.1,10.0,27.0,0.0,14.9,1015.1
2015-02-21,19.3,10.0,27.0,0.0,14.5,1015.1
2015-02-22,19.3,12.0,27.0,0.0,12.5,1015.1
2015-02-23,19.3,12.0,27.0,0.0,13.7,1015.1
2015-02-24,18.5,12.0,27.0,0.0,9.4,1015.1
2015-02-25,17.9,12.0,27.0,0.0,9.7,1015.1
2015-02-26,18.3,12.0,27.0,0.0,13.6,1015.1
2015-02-27,18.6,10.0,26.0,0.0,14.5,1015.1
2015-03-02,19.6,10.0,26.0,0.0,14.9,1015.1
2015-03-03,18.7,11.0,26.0,0.0,22.2,1015.1
2015-03-04,17.8,11.0,26.0,0.0,14.0,1015.1
2015-03-05,18.4,11.0,26.0,0.0,11.1,1015.1
2015-03-06,18.7,11.0,26.0,0.0,13.7,1015.1
2015-03-07,20.1,14.0,27.0,0.0,21.1,1015.1
