time,tavg,tmin,tmax,prcp,wspd,pres
2021-01-02,19.2,14.9,27.5,8.0,4.9,1014.3
2021-01-03,20.0,14.9,27.5,8.0,4.0,1013.8
2021-01-04,19.9,15.0,27.1,10.3,4.3,1012.9
2021-01-05,19.9,13.6,27.4,0.0,4.9,1012.3
2021-01-06,20.1,14.8,27.5,1.3,4.0,1013.0
2021-01-07,20.6,14.5,28.3,0.0,4.6,1011.3
2021-01-08,20.4,15.5,26.9,0.2,5.4,1011.1
2021-01-09,18.4,15.9,22.6,15.2,5.7,1013.2
2021-01-10,18.3,15.6,23.4,6.9,4.7,1013.5
2021-01-11,18.7,15.4,25.2,7.7,3.8,1013.0
2021-01-12,18.6,15.5,24.4,8.3,4.2,1013.8
2021-01-13,19.5,15.8,26.7,1.6,4.8,1013.5
2021-01-14,19.6,14.9,25.8,1.3,5.0,1012.7
2021-01-15,19.0,14.4,25.3,0.9,4.1,1013.0
2021-01-16,18.6,15.6,25.1,13.8,3.4,1013.1
2021-01-17,18.5,14.5,25.2,8.3,3.9,1012.8
2021-01-18,19.0,14.8,25.0,3.9,3.7,1012.5
2021-01-19,18.8,14.8,25.8,5.1,4.7,1013.0
2021-01-20,20.0,14.5,27.0,0.1,5.1,1013.1
2021-01-21,20.0,14.7,27.0,0.2,5.0,1013.1
2021-01-22,19.5,14.3,26.5,2.9,3.9,1012.8
2021-01-23,19.7,14.7,26.3,0.9,6.6,1012.4
2021-01-24,20.3,14.2,27.1,0.2,5.7,1012.4
2021-01-25,20.4,14.4,27.3,0.2,6.2,1012.9
2021-01-26,20.7,14.3,29.1,0.0,6.2,1012.6
2021-01-27,21.0,13.3,29.6,0.0,6.9,1011.9
2021-01-28,21.2,14.4,28.9,0.0,5.4,1012.1
2021-01-29,21.5,14.4,29.4,0.0,5.1,1012.7
2021-01-30,21.8,14.7,29.8,0.1,5.9,1012.2
2021-01-31,22.3,15.9,30.9,0.1,7.7,1010.9
2021-02-01,22.0,13.8,31.1,0.0,6.9,1012.3
2021-02-02,22.3,14.1,31.7,0.0,7.8,1013.2
2021-02-03,22.5,15.5,28.9,0.0,6.5,1012.9
2021-02-04,22.4,15.6,29.6,0.0,4.9,1012.9
2021-02-05,22.8,15.9,30.6,0.0,5.6,1012.6
2021-02-06,21.1,16.3,28.5,1.7,5.0,1012.8
2021-02-07,20.7,16.1,28.3,2.6,5.8,1011.6
2021-02-08,20.8,16.7,29.6,6.5,5.0,1012.1
2021-02-09,20.5,15.4,27.7,9.3,5.3,1012.6
2021-02-10,19.6,15.9,27.0,19.5,4.8,1013.0
2021-02-11,18.5,15.9,24.7,18.3,4.3,1014.2
2021-02-12,19.4,15.8,26.7,9.6,4.9,1013.1
2021-02-13,18.8,16.0,25.3,26.0,4.1,1014.2
2021-02-14,19.3,15.5,27.1,3.0,6.0,1013.6
2021-02-15,20.8,15.7,28.3,0.1,6.7,1011.7
2021-02-16,21.0,16.3,28.5,0.2,5.2,1011.2
2021-02-17,21.0,14.6,28.8,0.1,5.3,1011.5
2021-02-18,20.6,14.9,26.7,0.3,5.3,1012.4
2021-02-19,20.3,15.0,28.7,1.8,5.5,1013.6
2021-02-20,19.4,15.4,26.3,6.3,4.1,1014.7
2021-02-21,19.0,15.6,24.4,5.7,4.3,1014.8
2021-02-22,18.6,15.6,25.2,17.7,4.3,1015.1
2021-02-23,18.9,14.8,24.6,0.2,4.9,1014.3
2021-02-24,19.8,13.7,27.6,0.8,6.2,1013.3
2021-02-25,20.3,13.9,27.9,0.0,7.1,1012.3
2021-02-26,21.1,14.5,29.3,0.0,6.6,1011.5
2021-02-27,21.1,13.6,29.8,0.0,5.6,1011.3
2021-02-28,21.6,13.7,30.2,0.0,5.6,1011.0
2021-03-01,22.4,14.6,30.4,0.0,6.0,1010.6
2021-03-02,23.4,16.3,31.2,0.0,9.6,1010.1
2021-03-03,22.2,16.5,30.1,1.1,6.3,1010.8
2021-03-04,20.5,17.0,27.8,13.4,3.5,1012.3
2021-03-05,19.9,15.2,27.6,4.9,5.1,1013.1
2021-03-06,21.1,15.5,29.0,2.6,6.1,1012.2
2021-03-07,21.4,14.6,28.4,0.0,4.7,1011.3
2021-03-08,20.3,15.4,27.5,8.0,5.5,1012.3
2021-03-09,20.6,14.9,27.7,4.4,5.0,1013.4
2021-03-10,20.9,13.8,29.9,1.1,7.4,1012.6
2021-03-11,21.9,14.9,30.8,0.0,9.9,1010.8
2021-03-12,22.5,15.9,31.3,0.0,9.9,1010.1
2021-03-13,22.8,15.9,31.4,0.0,10.3,1010.5
2021-03-14,22.7,16.4,30.7,0.0,9.3,1010.6
2021-03-15,22.5,15.4,29.3,0.0,8.2,1010.0
2021-03-16,22.3,17.6,29.5,0.0,10.0,1010.4
2021-03-17,22.5,16.0,30.2,0.0,8.9,1010.5
2021-03-18,22.1,15.7,30.0,0.0,8.2,1011.2
2021-03-19,22.9,15.3,31.4,0.0,9.8,1010.4
2021-03-20,23.6,17.1,30.6,0.2,10.8,1009.8
2021-03-21,22.6,17.3,29.2,0.1,11.6,1010.1
2021-03-22,23.2,16.5,30.6,0.0,11.8,1010.6
2021-03-23,23.2,16.8,30.7,0.2,10.2,1011.6
2021-03-24,23.1,16.0,30.1,0.0,8.3,1011.4
2021-03-25,23.8,15.4,32.8,0.0,7.6,1009.8
2021-03-26,23.4,16.0,32.0,0.6,7.5,1010.9
2021-03-27,20.5,15.6,26.4,0.6,4.6,1014.6
2021-03-28,22.0,14.5,29.7,0.0,5.5,1012.8
2021-03-29,21.5,15.8,31.2,2.3,5.4,1012.9
2021-03-30,20.5,16.2,28.6,19.3,5.8,1012.7
2021-03-31,20.2,15.4,27.5,8.6,5.2,1013.4
2021-04-01,20.3,15.4,26.3,4.9,4.6,1013.5
2021-04-02,19.9,16.1,28.2,15.3,7.2,1014.3
2021-04-03,19.7,15.1,26.5,2.4,5.3,1014.3
2021-04-04,19.5,15.3,25.8,11.8,5.3,1014.4
2021-04-05,19.0,15.7,23.9,2.3,5.9,1014.5
2021-04-06,20.2,16.3,26.8,3.7,6.0,1014.0
2021-04-07,20.9,15.7,27.4,0.0,9.6,1013.8
2021-04-08,19.3,14.9,25.1,2.0,6.4,1014.7
2021-04-09,19.8,15.1,27.0,0.9,5.9,1013.1
2021-04-10,19.4,15.2,27.2,7.3,5.8,1012.9
2021-04-11,19.2,15.4,26.4,9.3,5.2,1013.6
2021-04-12,20.8,16.0,27.3,0.2,9.4,1013.8
2021-04-13,20.1,15.8,25.7,0.9,6.6,1014.8
2021-04-14,19.0,15.0,26.6,13.6,3.7,1015.1
2021-04-15,20.1,15.4,27.2,3.3,5.2,1013.5
2021-04-16,20.3,15.0,26.9,0.8,6.2,1013.2
2021-04-17,21.0,14.6,28.6,0.1,8.4,1012.6
2021-04-18,21.3,15.2,28.3,0.1,11.6,1013.3
2021-04-19,21.7,16.2,28.3,0.0,9.9,1013.0
2021-04-20,20.6,15.7,27.8,4.3,6.3,1013.3
2021-04-21,20.2,16.3,29.3,7.9,4.8,1014.0
2021-04-22,20.3,14.9,28.8,0.7,5.3,1014.4
2021-04-23,20.6,15.6,27.9,2.7,6.6,1013.2
2021-04-24,19.8,15.7,27.7,9.4,5.9,1012.3
2021-04-25,18.7,15.4,22.5,13.8,5.0,1014.1
2021-04-26,19.7,14.5,26.5,2.9,5.8,1014.1
2021-04-27,20.4,14.6,27.4,1.1,6.1,1012.6
2021-04-28,21.1,15.9,28.2,0.1,8.4,1011.9
2021-04-29,21.1,15.2,28.9,0.0,9.0,1012.1
2021-04-30,21.3,15.1,28.9,0.1,10.0,1012.0
2021-05-01,20.9,13.6,28.9,0.0,4.6,1012.5
2021-05-02,21.6,14.8,29.6,0.2,6.5,1011.9
2021-05-03,19.9,15.1,28.5,6.6,6.3,1012.6
2021-05-04,19.7,15.7,26.3,4.7,7.1,1012.6
2021-05-05,19.3,15.3,26.8,2.5,5.0,1012.8
2021-05-06,19.4,14.9,25.8,4.2,6.0,1013.8
2021-05-07,19.2,14.7,25.9,11.5,4.6,1015.2
2021-05-08,19.1,15.7,25.0,25.1,3.9,1014.9
2021-05-09,17.8,15.2,22.8,11.3,4.7,1015.9
2021-05-10,17.3,15.1,20.5,6.5,3.6,1017.1
2021-05-11,18.7,13.9,24.7,12.4,3.6,1016.6
2021-05-12,17.9,15.0,22.3,24.9,2.9,1017.0
2021-05-13,18.9,14.7,26.0,4.4,5.5,1015.4
2021-05-14,19.4,15.3,26.0,5.6,6.3,1014.9
2021-05-15,19.4,15.0,25.1,0.3,6.6,1015.2
2021-05-16,19.8,13.5,27.2,0.0,6.6,1014.1
2021-05-17,20.4,14.7,26.7,0.0,6.6,1014.2
2021-05-18,20.3,15.3,27.1,0.1,6.9,1014.9
2021-05-19,20.7,15.3,27.4,0.0,7.5,1015.1
2021-05-20,20.4,13.9,27.8,0.0,5.2,1015.1
2021-05-21,21.4,14.4,29.1,0.3,7.0,1014.6
2021-05-22,21.2,14.2,28.5,0.0,6.0,1014.5
2021-05-23,21.4,15.1,28.1,0.2,5.2,1014.7
2021-05-24,20.9,16.8,27.0,0.9,6.2,1016.3
2021-05-25,21.3,15.9,28.6,0.1,6.0,1015.5
2021-05-26,21.6,15.8,28.6,0.0,7.1,1014.5
2021-05-27,21.4,15.5,29.2,0.0,8.4,1014.9
2021-05-28,21.1,14.8,28.1,0.0,7.0,1015.2
2021-05-29,21.4,14.9,28.7,0.2,5.8,1014.4
2021-05-30,21.8,17.2,28.3,1.1,7.5,1014.7
2021-05-31,22.0,16.6,28.9,0.0,9.6,1013.2
2021-06-01,20.9,14.5,27.8,0.0,10.7,1013.1
2021-06-02,21.2,15.0,28.8,0.0,9.7,1014.0
2021-06-03,21.1,15.0,27.8,0.0,6.0,1015.0
2021-06-04,22.0,15.8,29.1,0.0,6.4,1014.7
2021-06-05,22.1,16.0,29.6,0.0,10.4,1013.8
2021-06-06,21.3,16.0,28.6,0.0,10.3,1015.0
2021-06-07,21.0,15.3,28.8,0.0,11.0,1015.3
2021-06-08,20.3,15.0,27.2,0.0,12.2,1016.0
2021-06-09,20.6,14.2,28.9,0.0,12.0,1015.6
2021-06-10,20.8,15.1,29.0,0.0,10.8,1014.4
2021-06-11,20.7,13.8,28.5,0.0,6.8,1013.7
2021-06-12,20.8,14.6,27.8,0.0,6.8,1014.1
2021-06-13,20.9,14.2,28.2,0.0,6.1,1015.4
2021-06-14,21.1,14.4,27.5,0.1,5.8,1015.0
2021-06-15,21.8,15.7,28.7,0.0,4.9,1013.7
2021-06-16,20.8,16.8,26.7,2.1,6.6,1015.0
2021-06-17,19.4,15.7,26.7,14.4,6.6,1016.4
2021-06-18,18.6,15.9,23.6,34.0,4.8,1018.5
2021-06-19,19.0,15.5,24.4,0.1,5.0,1018.2
2021-06-20,18.6,13.5,24.8,0.0,8.0,1017.4
2021-06-21,18.3,13.9,25.2,0.0,8.4,1016.8
2021-06-22,18.8,13.7,25.3,0.0,11.3,1016.0
2021-06-23,18.7,13.6,25.4,0.0,11.7,1016.3
2021-06-24,19.1,13.0,26.5,0.0,8.5,1016.2
2021-06-25,19.1,13.0,26.3,0.0,6.5,1015.2
2021-06-26,19.4,13.5,26.1,0.3,5.4,1013.8
2021-06-27,20.4,13.5,27.8,0.0,6.2,1012.8
2021-06-28,19.8,13.8,26.3,0.1,9.6,1014.6
2021-06-29,19.5,14.0,25.6,0.2,7.4,1015.8
2021-06-30,19.3,13.9,25.2,0.2,6.1,1017.5
2021-07-01,19.9,13.7,26.7,0.0,5.9,1016.6
2021-07-02,20.6,13.6,27.9,0.0,5.6,1015.8
2021-07-03,20.3,14.2,27.2,0.2,5.4,1015.2
2021-07-04,20.4,15.2,26.9,0.8,6.6,1015.4
2021-07-05,20.7,15.5,28.1,0.0,5.9,1015.0
2021-07-06,20.1,14.0,26.7,1.5,6.2,1014.8
2021-07-07,20.1,13.7,27.4,1.4,7.1,1015.0
2021-07-08,20.0,15.7,25.8,8.3,6.2,1016.8
2021-07-09,18.2,15.0,23.4,11.3,5.4,1017.9
2021-07-10,18.9,13.5,25.5,0.2,8.4,1016.3
2021-07-11,19.2,13.6,25.8,0.4,7.8,1016.5
2021-07-12,18.3,15.6,23.4,0.0,10.4,1017.6
2021-07-13,17.2,14.1,21.5,1.8,8.0,1017.9
2021-07-14,19.3,13.6,26.5,1.1,7.1,1016.2
2021-07-15,19.5,14.6,25.3,0.3,7.6,1015.6
2021-07-16,19.7,14.1,25.7,0.0,7.0,1015.8
2021-07-17,19.5,12.9,26.3,0.0,7.0,1015.3
2021-07-18,19.5,13.3,26.5,0.0,7.0,1015.6
2021-07-19,20.0,13.6,27.6,0.1,6.3,1015.7
2021-07-20,20.4,14.9,26.2,0.1,6.3,1016.4
2021-07-21,21.1,14.8,28.5,0.0,7.6,1017.7
2021-07-22,21.0,14.1,29.7,0.0,7.7,1016.8
2021-07-23,20.6,14.0,27.2,0.0,6.6,1015.6
2021-07-24,20.2,12.8,27.5,0.0,6.8,1015.8
2021-07-25,20.8,13.3,28.4,0.0,7.5,1015.1
2021-07-26,21.1,14.7,28.2,0.0,7.6,1015.0
