time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-04-26,30.1,,,2.0,,,,,,
2019-04-27,30.7,25.6,,0.0,,,,,,
2019-04-28,30.9,24.6,,23.1,,,,,,
2019-04-29,32.9,27.0,,0.0,,,,,,
2019-05-14,28.6,23.5,,39.9,,,,,,
2019-10-04,31.1,23.6,,1.0,,,,,,
2019-10-05,25.4,,,8.9,,,,,,
2019-10-14,30.2,24.0,,2.0,,,,,,
2019-10-19,26.0,22.5,,20.1,,,,,,
2019-10-20,28.7,22.5,,2.0,,,,,,
2019-10-22,30.8,24.2,,17.0,,,,,,
2019-10-23,29.4,25.5,,0.0,,,,,,
2019-10-29,28.6,23.2,,7.1,,,,,,
2019-11-05,26.2,23.4,,16.0,,,,,,
2019-11-06,26.9,22.6,,0.0,,,,,,
2019-11-09,27.3,23.0,,11.9,,,,,,
2019-11-22,28.5,23.5,,32.0,,,,,,
2019-11-24,28.9,24.4,,2.0,,,,,,
2020-04-01,32.0,27.0,,4.1,,,,,,
2020-04-02,32.0,27.2,,0.0,,,,,,
2020-04-11,32.8,26.5,,0.8,,,,,,
2020-04-12,32.3,26.8,,0.0,,,,,,
2020-04-13,33.1,,,0.0,,,,,,
2020-04-22,24.6,22.4,,86.1,,,,,,
2020-04-23,29.7,22.6,,0.8,,,,,,
2020-04-24,25.6,,,0.0,,,,,,
2020-04-25,28.7,22.4,,7.1,,,,,,
2020-10-07,30.6,21.5,,29.0,,,,,,
2020-10-08,30.5,,,0.0,,,,,,
2021-01-02,29.6,24.3,34.8,0.0,,,9.0,,1010.9,
2021-01-03,29.7,23.6,35.5,0.0,,,11.2,,1010.8,
2021-01-04,29.9,23.5,35.6,0.0,,,10.9,,1010.2,
2021-01-05,30.1,24.3,35.4,0.0,,,15.2,,1010.4,
2021-01-06,29.7,24.5,35.0,0.0,,,14.6,,1011.2,
2021-01-07,29.2,22.7,35.2,0.0,,,13.7,,1009.7,
2021-01-08,28.7,22.6,34.7,0.0,,,12.8,,1008.8,
2021-01-09,29.1,22.5,34.9,0.0,,,13.7,,1008.4,
2021-01-10,29.5,24.0,35.0,0.0,,,14.2,,1009.0,
2021-01-11,29.8,23.8,35.1,0.0,,,15.2,,1009.6,
2021-01-12,29.9,25.3,34.8,0.0,,,16.7,,1010.6,
2021-01-13,29.7,23.7,35.2,0.0,,,14.7,,1010.9,
2021-01-14,29.9,22.8,36.2,0.0,,,11.9,,1009.5,
2021-01-15,30.3,24.1,36.2,0.0,,,12.6,,1009.0,
2021-01-16,31.0,24.8,37.0,0.0,,,12.9,,1007.8,
2021-01-17,30.6,24.7,36.0,0.0,,,12.1,,1008.5,
2021-01-18,31.3,24.4,37.1,0.0,,,14.8,,1008.0,
2021-01-19,31.6,24.9,37.7,0.0,,,13.6,,1008.0,
2021-01-20,31.8,24.9,37.5,0.0,,,15.3,,1009.4,
2021-01-21,32.6,27.5,37.3,0.5,,,17.6,,1009.5,
2021-01-22,32.0,27.5,36.0,0.1,,,17.6,,1009.6,
2021-01-23,31.4,26.1,36.2,0.0,,,15.8,,1010.0,
2021-01-24,31.1,25.5,36.3,0.0,,,14.0,,1010.0,
2021-01-25,30.3,24.6,35.8,0.0,,,15.7,,1011.0,
2021-01-26,30.0,23.4,35.5,0.0,,,13.2,,1010.9,
2021-01-27,30.6,24.2,35.9,0.0,,,15.1,,1010.1,
2021-01-28,31.3,25.3,36.6,0.0,,,14.8,,1010.1,
2021-01-29,31.2,25.2,37.1,0.0,,,17.0,,1011.1,
2021-01-30,30.1,23.2,36.7,0.0,,,12.5,,1010.5,
2021-01-31,29.5,23.2,35.1,0.0,,,13.0,,1010.3,
2021-02-01,30.8,23.5,36.5,0.0,,,13.5,,1011.0,
2021-02-02,30.5,24.3,36.0,0.0,,,15.4,,1012.2,
2021-02-03,29.9,22.7,36.0,0.0,,,13.2,,1011.9,
2021-02-04,29.3,22.7,35.4,0.0,,,11.0,,1011.3,
2021-02-05,29.7,23.9,35.0,0.0,,,10.2,,1010.8,
2021-02-06,30.5,24.3,35.8,0.0,,,9.4,,1009.0,
2021-02-07,30.9,24.7,36.7,0.0,,,14.9,,1008.2,
2021-02-08,32.0,26.3,37.1,0.0,,,19.5,,1008.7,
2021-02-09,31.7,27.2,35.2,0.0,,,18.7,,1009.8,
2021-02-10,31.2,26.2,35.7,0.0,,,17.8,,1009.8,
2021-02-11,31.2,25.4,36.7,0.0,,,14.2,,1008.9,
2021-02-12,31.3,25.5,36.3,0.0,,,11.2,,1008.6,
2021-02-13,31.7,25.8,37.1,0.0,,,12.1,,1008.9,
