time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-06-22,17.7,12.9,24.3,0.7,,,20.1,,1017.2,
2025-06-23,17.2,12.6,23.6,1.4,,,23.6,,1017.5,
2025-06-24,16.8,11.9,22.2,0.0,,,29.2,,1018.0,
2025-06-25,17.0,11.5,22.5,0.0,,,32.3,,1017.8,
2025-06-26,17.6,13.7,23.3,0.1,,,29.2,,1017.5,
2025-06-27,18.6,13.5,26.5,0.0,,,20.1,,1016.8,
2025-06-28,17.6,12.4,23.9,1.8,,,23.4,,1017.0,
2025-06-29,17.1,13.3,22.2,0.0,,,29.0,,1017.3,
2025-06-30,16.8,12.3,21.7,0.0,,,30.6,,1017.6,
2025-07-01,16.7,12.7,21.9,0.0,,,27.7,,1018.7,
2025-07-02,17.1,12.5,22.5,0.0,,,28.8,,1018.6,
2025-07-03,17.2,12.7,22.2,0.0,,,25.3,,1018.6,
2025-07-04,17.8,12.9,23.7,0.0,,,23.8,,1018.2,
2025-07-05,17.3,12.6,22.5,0.7,,,25.0,,1018.2,
2025-07-06,17.6,12.8,22.9,0.5,,,22.3,,1017.7,
2025-07-07,17.4,13.1,22.5,0.8,,,24.4,,1018.0,
2025-07-08,17.3,12.9,22.9,0.0,,,27.0,,1018.6,
2025-07-09,16.4,12.3,21.4,0.0,,,28.5,,1019.3,
2025-07-10,17.3,12.9,22.7,1.0,,,24.9,,1018.3,
2025-07-11,17.0,12.1,22.2,0.9,,,25.2,,1018.0,
2025-07-12,17.1,12.3,23.0,0.1,,,23.8,,1018.6,
2025-07-13,17.2,13.1,22.6,1.1,,,27.4,,1019.3,
2025-07-14,17.1,13.1,22.6,0.2,,,27.4,,1019.6,
2025-07-15,17.4,12.5,23.6,0.0,,,27.0,,1018.4,
2025-07-16,17.5,12.4,23.3,1.1,,,22.7,,1017.9,
2025-07-17,17.3,12.7,23.0,6.8,,,19.2,,1019.1,
2025-07-18,17.4,13.2,22.8,0.7,,,23.6,,1019.5,
2025-07-19,17.2,13.2,22.7,2.2,,,22.8,,1018.5,
2025-07-20,16.4,12.1,21.8,0.8,,,23.1,,1017.1,
2025-07-21,16.8,11.2,23.3,1.4,,,19.5,,1016.3,
2025-07-22,16.7,12.1,22.4,0.0,,,26.4,,1017.5,
2025-07-23,16.2,12.3,21.7,0.0,,,26.4,,1018.4,
2025-07-24,16.9,11.4,22.8,0.0,,,24.5,,1017.6,
2025-07-25,17.3,10.5,24.0,0.0,,,26.5,,1017.0,
2025-07-26,17.4,10.9,23.4,0.0,,,27.3,,1017.9,
2025-07-27,17.0,10.1,23.4,0.0,,,27.0,,1018.9,
2025-07-28,16.6,11.7,22.5,1.0,,,30.8,,1019.5,
2025-07-29,16.2,12.4,21.5,0.0,,,32.8,,1019.9,
2025-07-30,16.1,12.0,21.5,0.0,,,34.4,,1020.7,
2025-07-31,16.9,12.2,23.1,0.0,,,30.5,,1019.9,
2025-08-01,17.0,12.8,23.4,0.0,,,28.9,,1018.9,
2025-08-02,16.9,12.0,22.1,0.0,,,27.2,,1017.8,
2025-08-03,16.6,12.5,22.6,0.4,,,25.2,,1018.2,
2025-08-04,16.4,12.3,21.0,1.2,,,19.4,,1018.8,
2025-08-05,15.7,10.9,22.3,1.6,,,22.7,,1018.5,
2025-08-06,16.9,11.5,22.4,0.0,,,26.0,,1017.1,
2025-08-07,16.9,12.8,25.3,7.4,,,17.6,,1015.8,
2025-08-08,15.9,12.2,23.1,10.2,,,17.5,,1015.9,
2025-08-09,15.4,11.9,20.5,0.7,,,23.7,,1017.6,
2025-08-10,15.7,11.3,21.2,7.6,,,19.9,,1017.7,
2025-08-11,15.8,11.5,21.3,1.0,,,25.3,,1017.0,
2025-08-12,15.7,11.8,20.7,0.2,,,27.2,,1017.2,
2025-08-13,16.1,11.2,21.0,0.5,,,23.4,,1017.3,
2025-08-14,16.7,11.3,22.1,0.0,,,25.3,,1017.8,
2025-08-15,17.2,12.9,22.5,2.0,,,23.7,,1017.0,
