time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-05,29.4,,,,,,6.3,,,
2015-01-06,29.3,,,,,,8.8,,,
2015-01-07,29.3,,,,,,5.9,,,
2015-01-08,28.8,,,,,,4.0,,,
2015-01-09,29.9,23.0,36.0,,,,6.0,,,
2015-01-10,29.5,23.3,36.0,,,,4.5,,,
2015-01-11,29.7,,,,,,8.5,,,
2015-01-12,30.6,25.0,37.0,,,,10.1,,,
2015-01-15,29.8,,,,,,6.6,,,
2015-01-23,26.8,,,0.0,,,,,,
2015-02-02,28.9,,,,,,9.3,,,
2015-02-03,,,,,,,11.0,,,
2015-02-04,29.0,24.0,35.0,,,,10.8,,,
2015-02-07,,,,,,,13.5,,,
2015-02-09,29.4,,,,,,13.5,,,
2015-02-10,29.1,,,,,,11.5,,,
2015-02-11,29.4,,,,,,11.3,,,
2015-02-13,29.9,,,,,,12.4,,,
2015-02-14,29.7,,,,,,11.3,,,
2015-02-15,28.4,,,,,,8.1,,,
2015-02-24,30.1,,,,,,6.4,,,
2015-02-26,30.7,,,,,,12.8,,,
2015-03-02,30.2,,,,,,9.4,,,
2015-03-03,30.2,23.0,37.0,,,,9.2,,,
2015-03-04,30.0,24.0,37.0,,,,6.2,,,
2015-03-05,30.3,,,,,,10.5,,,
2015-03-06,30.4,,,,,,10.6,,,
2015-03-07,30.9,24.2,38.0,,,,11.4,,,
2015-03-08,31.2,,,,,,7.3,,,
2015-03-09,30.8,,,,,,9.0,,,
2015-03-10,30.9,,,,,,8.9,,,
2015-03-11,30.5,,,,,,9.5,,,
2015-03-12,30.8,,,,,,10.7,,,
2015-03-13,29.3,,,,,,13.5,,,
2015-03-14,30.1,,,,,,12.0,,,
2015-03-15,30.8,,,,,,11.9,,,
2015-03-16,31.0,25.0,38.0,,,,13.4,,,
2015-03-17,30.4,25.4,36.0,,,,11.4,,,
2015-03-18,30.4,25.0,36.0,,,,14.6,,,
2015-03-19,30.9,25.0,37.0,,,,11.3,,,
2015-03-23,30.7,,,5.1,,,,,,
2015-03-24,28.8,,,0.0,,,,,,
2015-03-25,27.8,,,15.0,,,,,,
2015-03-26,25.9,,,33.0,,,,,,
2015-03-27,27.1,,,1.0,,,,,,
2015-03-28,28.1,,,1.0,,,,,,
2015-03-29,30.4,,,0.0,,,,,,
2015-04-09,27.1,,,8.9,,,,,,
2015-04-10,31.6,,,0.0,,,,,,
2015-04-17,29.3,,,30.0,,,,,,
2015-04-18,30.3,,,0.0,,,,,,
2015-04-21,29.9,,,3.0,,,,,,
2015-04-22,31.9,,,0.5,,,,,,
2015-04-23,31.6,,,0.0,,,,,,
2015-05-06,31.7,,,0.0,,,,,,
2015-05-26,31.4,,,0.0,,,,,,
2015-05-30,30.2,,,0.0,,,,,,
2015-05-31,27.3,,,0.0,,,,,,
2015-06-01,27.0,,,7.9,,,,,,
2015-06-02,29.4,,,0.0,,,,,,
2018-03-03,31.6,23.2,,0.3,,,,,,
2018-03-04,24.8,20.3,,20.1,,,,,,
2018-03-05,30.4,20.3,,15.0,,,,,,
2018-03-06,33.1,24.6,,0.0,,,,,,
2018-03-16,25.4,21.8,,7.1,,,,,,
2018-03-17,31.8,21.1,,0.8,,,,,,
2018-03-18,32.2,24.2,,0.0,,,,,,
2018-03-19,30.4,21.7,,51.1,,,,,,
2018-03-20,30.2,23.3,,0.0,,,,,,
2018-03-21,30.8,21.6,,14.0,,,,,,
2018-03-22,30.6,22.4,,0.0,,,,,,
2018-04-03,30.4,23.8,,1.0,,,,,,
2018-04-04,31.7,23.2,,1.0,,,,,,
2018-04-05,31.7,23.9,,0.0,,,,,,
2018-04-08,30.1,21.2,,25.9,,,,,,
2018-04-09,28.1,21.3,,8.9,,,,,,
2018-04-10,30.7,22.5,,0.0,,,,,,
2018-04-11,28.4,22.8,,7.9,,,,,,
2018-04-12,29.2,21.2,,46.0,,,,,,
2018-04-13,29.9,23.0,,0.0,,,,,,
2018-04-17,27.7,20.0,,125.0,,,,,,
2018-04-18,29.0,22.5,,2.0,,,,,,
2018-04-19,28.3,22.4,,0.0,,,,,,
2018-04-20,29.8,22.5,,8.9,,,,,,
2018-04-21,30.7,23.4,,0.0,,,,,,
2018-04-23,27.3,21.0,,7.9,,,,,,
2018-04-24,28.7,22.0,,8.9,,,,,,
2018-04-25,28.8,,,0.0,,,,,,
2018-04-26,29.8,22.2,,6.1,,,,,,
2018-04-27,28.9,22.3,,0.0,,,,,,
2018-04-28,28.3,22.6,,7.1,,,,,,
2018-04-29,27.3,22.5,,0.5,,,,,,
2018-04-30,29.3,22.7,,5.1,,,,,,
2018-05-01,26.4,21.8,,0.0,,,,,,
2018-05-02,28.0,20.7,,4.1,,,,,,
2018-05-03,29.7,21.2,,0.0,,,,,,
2018-05-25,28.7,22.6,,0.3,,,,,,
2018-05-26,29.5,21.7,,0.0,,,,,,
2018-07-04,26.7,20.7,,0.3,,,,,,
2018-07-05,29.1,19.7,,0.5,,,,,,
2018-07-06,30.0,,,0.0,,,,,,
2018-08-05,28.7,21.1,,2.0,,,,,,
2018-08-06,28.6,20.7,,0.0,,,,,,
2018-09-06,29.7,20.9,,0.8,,,,,,
2018-09-07,30.6,21.4,,0.0,,,,,,
2018-09-13,28.6,21.0,,0.3,,,,,,
2018-09-14,30.9,22.2,,0.0,,,,,,
2018-09-21,28.6,20.9,,2.0,,,,,,
