time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-08,21.4,,,,,,12.6,,,
2015-01-09,21.6,,,,,,11.6,,,
2015-01-12,22.2,,,,,,14.9,,,
2015-01-13,21.1,,,,,,12.0,,,
2015-01-14,21.7,16.0,28.0,,,,11.5,,,
2015-01-15,21.5,,,,,,11.6,,,
2015-01-19,22.2,15.0,28.0,,,,6.9,,,
2015-01-24,21.0,16.0,26.0,,,,18.9,,,
2015-01-27,21.5,,,,,,9.3,,,
2015-02-01,22.0,,,,,,12.4,,,
2015-02-03,21.6,,,,,,14.6,,,
2015-02-04,21.3,14.0,27.0,,,,17.8,,,
2015-02-08,21.7,,,,,,13.2,,,
2015-02-13,23.2,,,,,,12.3,,,
2015-02-16,20.6,17.0,27.0,,,,6.0,,,
2015-02-17,20.4,,,,,,13.9,,,
2015-02-18,21.6,17.0,26.0,,,,8.4,,,
2015-02-19,21.7,,,,,,12.9,,,
2015-02-20,21.9,18.0,27.0,,,,17.0,,,
2015-03-07,22.6,,,,,,12.1,,,
2015-03-08,22.7,15.0,29.0,,,,11.3,,,
2015-03-12,22.6,,,,,,16.7,,,
2015-03-17,22.5,,,,,,18.8,,,
2015-03-18,21.6,,,,,,20.4,,,
2015-03-19,22.0,17.0,28.0,,,,17.2,,,
2015-03-20,22.4,17.0,28.0,,,,14.0,,,
2015-03-25,21.1,17.0,27.0,,,,13.0,,,
2015-03-26,18.6,17.0,22.0,,,,16.3,,,
2015-03-27,20.1,16.0,24.0,,,,12.4,,,
2015-04-04,20.2,,,,,,9.8,,,
2015-04-05,20.6,16.0,26.0,,,,4.2,,,
2015-04-07,22.0,,,,,,7.6,,,
2015-04-08,21.9,17.0,28.0,,,,9.1,,,
2015-04-09,20.1,17.0,24.0,,,,8.4,,,
2015-04-10,20.8,18.0,26.0,,,,11.0,,,
2015-04-13,21.7,17.0,27.0,,,,11.6,,,
2015-04-15,21.8,,,,,,11.7,,,
2015-04-16,21.4,,,,,,8.5,,,
2015-04-17,18.6,,,,,,6.0,,,
2015-04-18,19.4,,,,,,4.9,,,
2015-04-20,20.9,,,,,,,,,
2015-04-21,20.8,,,,,,9.4,,,
2015-04-22,21.2,,,,,,10.0,,,
