time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-02,27.8,25.0,32.5,0.0,,,9.3,,1011.6,
2021-01-03,27.8,25.0,31.8,1.0,,,10.4,,1011.4,
2021-01-04,28.0,25.4,31.4,0.3,,,12.7,,1010.6,
2021-01-05,27.8,25.1,31.6,0.1,,,16.6,,1010.7,
2021-01-06,27.5,25.2,31.2,0.9,,,15.1,,1011.0,
2021-01-07,27.2,23.8,31.5,0.0,,,14.7,,1009.6,
2021-01-08,27.5,25.2,31.2,0.5,,,15.9,,1008.3,
2021-01-09,27.4,24.8,32.4,0.2,,,17.5,,1008.0,
2021-01-10,26.8,25.0,29.8,0.1,,,14.2,,1009.5,
2021-01-11,27.2,24.3,31.6,0.1,,,17.3,,1009.7,
2021-01-12,27.4,25.1,32.1,0.0,,,20.0,,1010.3,
2021-01-13,27.2,25.0,31.0,0.6,,,18.0,,1010.6,
2021-01-14,27.0,24.9,30.3,0.5,,,16.9,,1010.4,
2021-01-15,27.2,25.0,31.0,0.1,,,15.8,,1009.8,
2021-01-16,27.3,24.7,31.7,0.0,,,14.4,,1009.1,
2021-01-17,27.4,24.7,31.5,0.0,,,14.6,,1008.8,
2021-01-18,27.7,25.0,32.3,0.1,,,16.2,,1008.3,
2021-01-19,27.4,24.1,31.8,0.0,,,14.4,,1008.7,
2021-01-20,27.4,24.2,31.3,0.0,,,15.2,,1009.9,
2021-01-21,27.7,25.2,31.9,0.7,,,18.2,,1010.2,
2021-01-22,27.6,25.5,31.2,0.2,,,16.8,,1010.7,
2021-01-23,27.5,24.8,32.0,0.0,,,15.4,,1011.0,
2021-01-24,27.2,24.3,31.6,0.0,,,14.6,,1010.9,
2021-01-25,27.5,25.2,31.5,0.3,,,14.5,,1011.8,
2021-01-26,27.3,25.0,31.4,0.0,,,14.1,,1011.6,
2021-01-27,27.3,24.3,32.0,0.5,,,14.0,,1010.7,
2021-01-28,27.3,25.3,31.4,0.8,,,14.3,,1010.7,
2021-01-29,27.4,25.1,30.7,0.9,,,17.2,,1011.4,
2021-01-30,27.1,24.7,30.6,0.4,,,16.0,,1011.2,
2021-01-31,27.1,24.8,31.3,0.0,,,16.9,,1010.3,
2021-02-01,26.8,22.3,30.8,0.0,,,14.7,,1012.0,
2021-02-02,26.7,23.9,31.0,0.0,,,13.3,,1013.1,
2021-02-03,27.2,24.9,32.2,0.1,,,13.8,,1012.4,
2021-02-04,27.1,24.1,31.5,0.0,,,13.2,,1011.8,
