time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-01-07,25.7,,,,,,12.0,,,
2015-01-08,26.3,,,,,,9.2,,,
2015-01-09,26.4,,,,,,12.2,,,
2015-01-10,26.8,,,,,,6.9,,,
2015-01-11,25.2,,,,,,9.3,,,
2015-01-12,25.6,,,,,,8.3,,,
2015-01-13,26.0,,,,,,15.0,,,
2015-01-14,26.9,,,,,,15.0,,,
2015-01-15,26.2,,,,,,15.9,,,
2015-01-17,26.1,21.0,33.0,,,,8.4,,,
2015-01-18,,,,,,,12.0,,,
2015-01-19,26.6,,,,,,3.8,,,
2015-01-22,24.0,,,,,,12.1,,,
2015-01-23,25.4,,,,,,5.3,,,
2015-01-24,24.5,,,,,,,,,
2015-01-25,25.1,,,,,,14.7,,,
2015-01-27,26.1,,,,,,14.7,,,
2015-01-28,25.6,,,,,,,,,
2015-01-29,26.4,,,,,,11.8,,,
2015-01-30,26.3,,,,,,5.3,,,
2015-01-31,26.9,,,,,,13.8,,,
2015-02-01,26.6,,,,,,14.1,,,
2015-02-02,26.1,,,,,,22.0,,,
2015-02-03,25.6,,,,,,22.1,,,
2015-02-04,25.5,,,,,,20.5,,,
2015-02-05,25.6,,,,,,19.1,,,
2015-02-08,24.3,,,,,,13.3,,,
2015-02-09,26.1,,,,,,14.7,,,
2015-02-10,26.7,,,,,,16.9,,,
2015-02-11,26.9,,,,,,12.5,,,
2015-02-12,26.9,,,,,,15.9,,,
2015-02-13,27.8,21.0,36.1,,,,11.7,,,
2015-02-14,27.2,,,,,,14.2,,,
2015-02-15,27.5,,,,,,15.7,,,
2015-02-16,27.9,,,,,,12.5,,,
2015-02-17,26.4,,,,,,15.2,,,
2015-02-19,27.4,,,,,,10.4,,,
2015-02-20,27.0,,,,,,11.4,,,
2015-02-21,27.2,,,,,,9.5,,,
2015-02-22,28.0,,,,,,10.5,,,
2015-02-23,28.1,,,,,,11.4,,,
2015-02-24,28.0,,,,,,14.5,,,
2015-02-25,,,,,,,10.9,,,
2015-03-01,27.3,,,,,,,,,
2015-03-05,,,,,,,17.4,,,
2015-03-07,27.2,21.0,35.0,,,,7.1,,,
2015-03-08,27.3,,,,,,9.9,,,
2015-03-09,,,,,,,12.8,,,
2015-03-10,26.9,,,,,,15.3,,,
2015-03-11,27.4,,,,,,8.5,,,
2015-03-12,25.1,20.0,30.2,,,,10.2,,,
2015-03-15,27.2,,,,,,17.0,,,
2015-03-16,28.2,,,,,,14.7,,,
2015-03-17,27.1,,,,,,15.7,,,
2015-03-18,26.3,,,,,,10.4,,,
2015-03-19,27.5,21.0,35.0,,,,15.3,,,
2015-03-20,27.7,,,,,,22.1,,,
2015-03-21,26.7,,,,,,13.0,,,
2015-03-23,25.4,,,,,,7.4,,,
2015-03-24,26.3,22.0,33.0,,,,15.4,,,
2015-03-26,23.5,,,,,,9.2,,,
2015-03-29,,,,,,,19.2,,,
2015-03-30,,,,,,,16.4,,,
2015-03-31,27.4,23.0,34.0,,,,15.0,,,
2015-04-01,27.8,,,,,,10.0,,,
2015-04-02,27.6,,,,,,18.9,,,
2015-04-03,,,,,,,12.7,,,
2015-04-04,26.9,,,,,,14.7,,,
2015-04-05,27.3,23.0,34.0,,,,9.2,,,
2015-04-06,27.8,23.0,35.0,,,,11.3,,,
2015-04-07,27.9,22.2,35.0,,,,15.2,,,
2015-04-09,25.2,22.0,30.2,,,,10.5,,,
2015-04-15,,,,,,,22.3,,,
2015-04-16,26.8,,,,,,20.8,,,
2015-04-17,25.5,,,,,,13.3,,,
2015-04-18,25.9,,,,,,23.9,,,
2015-04-19,26.3,,,,,,23.8,,,
2015-04-20,26.4,,,,,,27.0,,,
2015-04-21,26.2,,,,,,22.4,,,
2015-04-22,25.4,,,,,,24.4,,,
2015-04-23,26.3,,,,,,27.8,,,
2015-04-24,26.6,,,,,,26.2,,,
2015-04-25,24.4,,,,,,23.7,,,
2015-04-26,26.6,,,,,,23.7,,,
2015-04-27,25.7,,,,,,19.6,,,
2015-04-28,25.6,,,,,,13.5,,,
2015-04-29,24.4,,,,,,16.7,,,
2015-04-30,25.7,,,,,,16.2,,,
2015-05-01,25.4,,,,,,9.1,,,
2015-05-03,25.7,,,,,,21.4,,,
2015-05-04,25.1,,,,,,23.3,,,
2015-05-05,24.3,,,,,,24.2,,,
2015-05-06,24.3,,,,,,27.9,,,
2015-05-07,24.9,,,,,,25.7,,,
2015-05-08,24.6,,,,,,,,,
2015-05-09,25.1,,,,,,24.6,,,
2015-05-10,25.2,,,,,,29.5,,,
2015-05-14,25.3,,,,,,25.4,,,
2015-05-15,25.6,,,,,,23.6,,,
2015-05-21,25.4,,,,,,30.7,,,
2015-05-24,25.4,,,,,,28.0,,,
2015-05-26,24.9,,,,,,26.0,,,
2015-05-27,25.8,,,,,,20.9,,,
2015-05-28,25.3,,,,,,29.3,,,
2015-05-31,21.7,,,,,,17.9,,,
2015-06-03,24.4,,,,,,19.0,,,
2015-06-04,24.4,,,,,,21.0,,,
2015-06-05,24.3,,,,,,16.1,,,
2015-06-06,25.3,,,,,,22.3,,,
2015-06-07,,,,,,,25.7,,,
2015-06-08,24.2,,,,,,25.2,,,
2015-06-09,23.8,,,,,,23.6,,,
2015-06-10,23.7,,,,,,28.0,,,
2015-06-12,23.8,,,,,,22.1,,,
2015-06-13,23.6,21.0,28.0,,,,20.3,,,
2015-06-14,23.9,,,,,,19.4,,,
2015-06-15,23.8,,,,,,18.9,,,
2021-01-02,25.0,20.7,31.3,5.6,,,4.8,,1012.7,
2021-01-03,24.9,21.2,31.0,5.1,,,7.2,,1012.6,
2021-01-04,25.2,21.1,31.2,0.4,,,6.4,,1011.7,
2021-01-05,24.6,20.8,29.9,0.0,,,6.2,,1012.0,
2021-01-06,25.0,20.8,29.9,0.3,,,7.7,,1012.2,
2021-01-07,25.3,21.1,31.1,0.0,,,8.1,,1010.8,
2021-01-08,25.1,21.2,30.6,0.5,,,7.5,,1009.6,
2021-01-09,25.1,20.9,31.1,1.3,,,6.4,,1009.4,
2021-01-10,22.8,21.2,25.4,16.3,,,6.0,,1011.1,
2021-01-11,23.0,19.9,28.2,1.0,,,6.0,,1011.1,
2021-01-12,24.4,21.0,29.6,0.2,,,6.5,,1011.9,
