name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
Lodwar,KE,RV,63612,HKLO,3.1167,35.6167,506.0,Africa/Nairobi,1957-01-01,2025-11-01,1957-01-01,2025-08-24,1957-01-01,2022-01-01
Moyale,KE,OR,63619,HKMY,3.5333,39.05,1097.0,Africa/Nairobi,1957-01-01,2025-04-12,1935-01-01,2025-08-20,1935-01-01,2021-01-01
Mandera,KE,NE,63624,HKMA,3.9333,41.8667,230.0,Africa/Nairobi,1957-01-01,2025-04-12,1957-01-01,2025-08-24,1957-01-01,2021-01-01
Marsabit,KE,EA,63641,HKMB,2.3,37.9,1219.0,Africa/Nairobi,1975-12-01,2025-04-12,1986-04-14,1997-09-29,,
Kitale,KE,RV,63661,HKKT,1.0167,35.0,1890.0,Africa/Nairobi,1949-11-01,2025-10-30,1957-01-01,2025-08-24,1957-01-01,2022-01-01
Wajir,KE,NE,63671,HKWJ,1.75,40.0667,244.0,Africa/Nairobi,1957-01-01,2025-10-31,1988-05-19,1997-10-26,1961-01-01,1990-01-01
Eldoret,KE,RV,63686,HKEL,0.5333,35.2833,2120.0,Africa/Nairobi,1957-01-01,2025-11-01,1957-01-01,2025-08-24,1957-01-01,2022-01-01
Kakamega,KE,WE,63687,HKKG,0.2833,34.7833,1530.0,Africa/Nairobi,1984-11-01,2025-04-12,1994-07-22,2003-06-22,,
Nanyuki,KE,CE,63694,HKNY,-0.07,37.03,1905.0,Africa/Nairobi,2000-12-08,2025-06-19,,,,
Meru,KE,EA,63695,HKME,0.0833,37.65,1554.0,Africa/Nairobi,1957-01-01,2025-10-31,1986-05-17,2003-06-23,1989-01-01,1994-01-01
Kisumu,KE,NY,63708,HKKI,-0.1,34.75,1157.0,Africa/Nairobi,1949-09-09,2025-11-01,1957-05-01,2022-04-25,1957-01-01,1994-01-01
Kisii,KE,NY,63709,HKKS,-0.6667,34.7833,1493.0,Africa/Nairobi,1984-11-10,2025-04-12,1992-05-01,2015-06-07,,
Kericho,KE,RV,63710,HKKR,-0.3667,35.35,2184.0,Africa/Nairobi,1973-07-19,2025-04-12,1988-08-11,1998-02-17,,
Nakuru,KE,RV,63714,HKNK,-0.2667,36.1,1901.0,Africa/Nairobi,1957-01-01,2025-11-01,1985-12-23,2022-04-08,1989-01-01,1994-01-01
Nyeri,KE,CE,63717,HKNI,-0.5,36.9667,1759.0,Africa/Nairobi,1979-09-01,2025-11-01,1987-10-08,2003-06-18,1989-01-01,1994-01-01
Embu,KE,EA,63720,HKEM,-0.5,37.45,1493.0,Africa/Nairobi,1979-09-01,2025-10-30,1986-11-15,2014-07-20,,
Garissa,KE,CO,63723,HKGA,-0.4667,39.6333,138.0,Africa/Nairobi,1957-01-01,2025-10-31,1957-01-01,2025-03-30,1957-01-01,2021-01-01
Narok,KE,RV,63737,HKNO,-1.1333,35.8333,1890.0,Africa/Nairobi,1957-01-01,2025-04-12,1994-06-08,2014-08-09,,
Nairobi ACC/FIC/RCC/MET/COM/,KE,,63740,HKNA,-1.3167,36.9333,1624.0,Africa/Nairobi,1949-01-21,2025-04-12,1957-01-01,2025-08-13,1949-01-01,2021-01-01
Nairobi / Dagoretti,KE,,63741,HKNC,-1.3,36.75,1798.0,Africa/Nairobi,1957-01-01,2025-04-12,1957-01-01,2025-08-24,1957-01-01,2021-01-01
Nairobi / Wilson,KE,,63742,HKNW,-1.3167,36.8167,1683.0,Africa/Nairobi,1963-03-16,2025-10-31,1997-01-25,2022-04-22,,
Makindu,KE,EA,63766,HKMU,-2.2833,37.8333,1000.0,Africa/Nairobi,1957-01-01,2025-04-12,1986-02-05,2015-06-15,1989-01-01,1994-01-01
Lamu,KE,CO,63772,HKLU,-2.2667,40.8333,6.0,Africa/Nairobi,1957-01-01,2025-10-31,,,,
Voi,KE,CO,63793,HKVO,-3.4,38.5667,579.0,Africa/Nairobi,1957-01-01,2025-04-12,1994-06-15,2015-06-13,,
Malindi,KE,CO,63799,HKML,-3.2333,40.1,20.0,Africa/Nairobi,1963-03-16,2025-11-01,1963-03-18,2025-08-24,1976-01-01,2022-01-01
Mombasa,KE,CO,63820,HKMO,-4.0333,39.6167,57.0,Africa/Nairobi,1949-01-21,2025-11-01,1957-01-01,2025-08-17,1957-01-01,2021-01-01
Eldoret Aistrip,KE,RV,,HKED,0.5364,35.2789,2149.0,Africa/Nairobi,2003-03-30,2023-03-15,2005-03-11,2016-11-15,,
Isiolo,KE,EA,,HKIS,0.35,37.5833,1067.0,Africa/Nairobi,2003-05-21,2003-05-21,,,,
Meru Mulika / Kinna,KE,EA,,HKMK,0.233,38.183,680.0,Africa/Nairobi,2011-12-01,2013-06-22,,,,
Mara Serena Lodge Airstrip / Masai Mara,KE,RV,,HKMS,-1.4061,35.0081,1585.0,Africa/Nairobi,2011-12-12,2019-06-15,,,,
Nairobi / Doonholm,KE,,,HKRE,-1.2773,36.8623,1626.0,Africa/Nairobi,2001-07-29,2017-07-27,2011-07-05,2015-06-13,,
